,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.45,0.2,0.0,0.37,0.22,0.44,0.49,0.23,0.0,0.4,0.39,1.0,0.27
bacula.csv,0.59,0.5,0.8,0.59,0.57,0.49,0.45,0.56,1.0,0.59,0.23,0.47,0.53
elmo.csv,0.07,0.09,0.83,0.0,0.07,0.05,0.1,0.13,0.1,0.13,0.05,0.09,0.0
jajuk.csv,0.69,0.51,0.76,0.68,0.98,0.66,0.52,0.51,0.54,0.67,0.58,0.56,0.64
ktc.csv,0.97,0.38,0.6,0.53,0.51,0.64,0.57,0.5,0.49,0.66,0.57,0.37,0.47
neoengine.csv,0.63,0.54,0.74,0.97,0.62,0.44,0.44,0.59,0.6,0.52,0.61,0.38,0.55
omseek.csv,0.1,0.26,0.0,0.13,0.16,0.16,0.1,0.02,0.05,0.16,0.35,0.06,0.98
pcgen.csv,0.12,0.43,0.63,0.12,0.39,0.44,0.05,0.24,0.53,0.15,0.97,0.06,0.18
rosegarden.csv,0.59,0.47,0.24,0.59,0.47,0.48,0.63,0.45,0.44,0.94,0.57,0.5,0.56
selenium.csv,0.69,0.97,0.43,0.48,0.58,0.72,0.59,0.39,0.62,0.58,0.31,0.44,0.63
vapor.csv,0.5,0.46,0.0,0.27,0.5,0.39,1.0,0.2,0.31,0.33,0.28,0.21,0.41
zorannt.csv,0.26,0.43,0.17,0.21,0.42,0.93,0.31,0.36,0.55,0.31,0.6,0.36,0.34
zscreen.csv,0.71,0.66,0.61,0.62,0.68,0.52,0.62,0.98,0.57,0.69,0.74,0.59,0.68
