,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.4,0.22,0.0,0.33,0.22,0.18,0.33,0.3,0.0,0.3,0.37,1.0,0.1
bacula.csv,0.53,0.53,0.36,0.51,0.58,0.22,0.31,0.62,1.0,0.42,0.22,0.35,0.2
elmo.csv,0.11,0.12,0.89,0.0,0.11,0.08,0.13,0.2,0.15,0.16,0.06,0.1,0.0
jajuk.csv,0.63,0.54,0.24,0.58,0.99,0.39,0.36,0.57,0.61,0.57,0.53,0.39,0.27
ktc.csv,0.98,0.47,0.14,0.52,0.6,0.43,0.42,0.56,0.57,0.64,0.57,0.26,0.18
neoengine.csv,0.6,0.58,0.19,0.98,0.64,0.32,0.3,0.67,0.68,0.41,0.56,0.26,0.21
omseek.csv,0.14,0.35,0.0,0.18,0.21,0.21,0.1,0.04,0.08,0.2,0.37,0.08,0.98
pcgen.csv,0.18,0.49,0.25,0.17,0.47,0.39,0.06,0.33,0.6,0.16,0.97,0.06,0.16
rosegarden.csv,0.64,0.54,0.11,0.55,0.53,0.4,0.43,0.51,0.52,0.96,0.54,0.37,0.2
selenium.csv,0.66,0.97,0.12,0.51,0.63,0.38,0.42,0.48,0.68,0.52,0.37,0.3,0.24
vapor.csv,0.54,0.47,0.0,0.33,0.52,0.26,1.0,0.29,0.4,0.36,0.29,0.25,0.3
zorannt.csv,0.27,0.63,0.14,0.28,0.43,0.95,0.22,0.42,0.68,0.27,0.61,0.24,0.18
zscreen.csv,0.63,0.69,0.19,0.55,0.66,0.23,0.44,0.99,0.66,0.51,0.66,0.47,0.26
