,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.78,0.9,1.0,0.8,0.97,0.86,0.72,0.83,1.0,0.77,0.76,0.0,0.88
bacula.csv,0.7,0.79,0.28,0.61,0.54,0.72,0.76,0.59,0.0,0.67,0.91,0.69,0.66
elmo.csv,0.94,0.93,0.2,1.0,0.94,0.96,0.92,0.89,0.92,0.9,0.97,0.94,1.0
jajuk.csv,0.47,0.6,0.42,0.54,0.02,0.45,0.69,0.67,0.58,0.43,0.59,0.67,0.53
ktc.csv,0.03,0.67,0.73,0.57,0.54,0.44,0.58,0.64,0.77,0.4,0.52,0.81,0.71
neoengine.csv,0.48,0.55,0.64,0.03,0.47,0.64,0.77,0.68,0.65,0.63,0.71,0.82,0.64
omseek.csv,0.92,0.78,1.01,0.89,0.88,0.87,0.94,0.98,0.96,0.88,0.74,0.96,0.03
pcgen.csv,0.9,0.64,0.47,0.9,0.67,0.62,0.96,0.8,0.6,0.89,0.04,0.97,0.85
rosegarden.csv,0.47,0.6,0.82,0.53,0.6,0.58,0.61,0.74,0.68,0.07,0.56,0.66,0.66
selenium.csv,0.41,0.05,0.87,0.59,0.49,0.45,0.6,0.68,0.55,0.5,0.74,0.89,0.59
vapor.csv,0.57,0.77,1.0,0.77,0.62,0.69,0.0,0.83,0.75,0.72,0.81,0.82,0.65
zorannt.csv,0.84,0.87,0.96,0.82,0.72,0.09,0.85,0.79,0.78,0.79,0.47,0.85,0.74
zscreen.csv,0.5,0.66,0.54,0.53,0.6,0.69,0.58,0.02,0.71,0.53,0.59,0.77,0.55
