,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.58,0.97,0.0,0.62,0.88,0.58,0.47,0.93,0.0,0.61,0.79,0.86,0.7
bacula.csv,0.44,0.51,0.65,0.49,0.53,0.58,0.49,0.49,0.42,0.46,0.89,0.62,0.52
elmo.csv,0.89,0.8,0.75,0.0,0.94,0.5,0.8,0.8,0.91,0.97,0.9,0.93,0.94
jajuk.csv,0.44,0.44,0.41,0.38,0.45,0.43,0.42,0.46,0.37,0.55,0.44,0.41,0.51
ktc.csv,0.5,0.72,0.61,0.53,0.58,0.64,0.54,0.72,0.51,0.61,0.43,0.54,0.61
neoengine.csv,0.5,0.47,0.56,0.59,0.48,0.71,0.57,0.47,0.43,0.6,0.48,0.59,0.59
omseek.csv,0.94,0.93,0.9,0.95,0.96,0.83,0.93,0.0,0.75,0.97,0.82,0.83,0.97
pcgen.csv,0.94,0.7,0.47,0.93,0.76,0.87,0.86,0.89,0.45,0.98,0.5,0.95,0.97
rosegarden.csv,0.57,0.7,0.71,0.49,0.67,0.7,0.54,0.61,0.55,0.67,0.53,0.61,0.66
selenium.csv,0.45,0.52,0.59,0.6,0.48,0.46,0.51,0.67,0.38,0.59,0.81,0.43,0.49
vapor.csv,0.71,0.78,0.5,0.98,0.6,0.82,0.8,0.89,0.72,0.91,0.89,0.95,0.98
zorannt.csv,0.84,0.49,0.51,0.97,0.73,0.9,0.79,0.81,0.54,0.94,0.5,0.69,0.89
zscreen.csv,0.45,0.49,0.44,0.55,0.42,0.62,0.48,0.49,0.4,0.52,0.4,0.41,0.54
