,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.45,0.17,0.0,0.34,0.19,0.52,0.48,0.2,0.0,0.37,0.36,1.0,0.24
bacula.csv,0.7,0.58,0.8,0.61,0.55,0.48,0.44,0.54,1.0,0.65,0.2,0.45,0.52
elmo.csv,0.06,0.07,0.8,0.0,0.06,0.04,0.08,0.11,0.08,0.11,0.04,0.07,0.0
jajuk.csv,0.7,0.47,0.8,0.74,0.98,0.65,0.52,0.5,0.52,0.66,0.58,0.59,0.64
ktc.csv,0.97,0.33,0.8,0.49,0.46,0.61,0.56,0.48,0.53,0.62,0.53,0.34,0.45
neoengine.csv,0.61,0.5,1.0,0.97,0.6,0.39,0.44,0.67,0.66,0.5,0.78,0.36,0.55
omseek.csv,0.08,0.22,0.0,0.11,0.13,0.13,0.08,0.02,0.04,0.13,0.31,0.05,0.97
pcgen.csv,0.1,0.38,0.6,0.1,0.34,0.39,0.04,0.2,0.51,0.12,0.96,0.05,0.15
rosegarden.csv,0.54,0.43,0.2,0.57,0.42,0.43,0.68,0.43,0.4,0.93,0.56,0.48,0.58
selenium.csv,0.68,0.97,0.8,0.44,0.54,0.74,0.6,0.35,0.62,0.55,0.27,0.55,0.67
vapor.csv,0.45,0.47,0.0,0.23,0.47,0.35,1.0,0.17,0.27,0.29,0.24,0.18,0.36
zorannt.csv,0.23,0.82,1.0,0.18,0.39,0.91,0.28,0.33,0.7,0.27,0.56,0.34,0.3
zscreen.csv,0.76,0.82,0.6,0.61,0.79,0.52,0.64,0.98,0.65,0.73,0.91,0.98,0.73
