,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.27,0.34,0.1,0.1,0.46,0.0,0.45,0.68,0.21,0.77,0.7,0.12,0.0,0.36,0.77
atlc.csv,0.47,0.84,0.1,0.45,0.38,0.18,0.73,0.31,0.37,0.39,0.51,0.68,0.34,0.35,0.29
bwapi.csv,0.37,0.73,0.11,0.42,0.66,0.23,0.72,0.74,0.3,0.86,0.57,0.69,0.34,0.34,0.23
cubefs.csv,0.29,0.74,0.11,0.22,0.6,0.23,0.59,0.74,0.28,0.14,0.51,0.14,0.21,0.32,0.43
freewrl.csv,0.36,0.74,0.11,0.44,0.66,0.23,0.69,0.68,0.29,0.87,0.69,0.64,0.33,0.35,0.42
iaml.csv,0.13,0.68,0.0,0.0,0.38,0.19,0.71,0.22,0.29,0.27,0.58,0.33,0.29,0.29,0.48
jrdf.csv,0.26,0.54,0.0,0.29,0.44,0.25,0.58,0.38,0.12,0.0,0.07,0.07,0.5,0.23,0.05
kwave.csv,0.47,0.74,0.12,0.0,0.66,0.23,0.62,0.3,0.3,0.33,0.67,0.0,0.36,0.35,0.42
oscarmcmaster.csv,0.38,0.64,0.21,0.46,0.54,0.29,0.41,0.41,0.14,0.33,0.57,0.07,0.39,0.41,0.39
rtrt-on-gpu.csv,0.2,0.65,0.05,0.42,0.64,0.2,0.62,0.29,0.64,0.55,0.23,0.31,0.39,0.21,0.23
theresa.csv,0.29,0.49,0.33,0.0,0.5,0.22,0.28,0.39,0.42,0.24,0.55,0.43,0.33,0.32,0.53
thrust.csv,0.1,0.55,0.0,0.52,0.19,0.24,0.35,0.33,0.0,0.67,0.28,0.22,0.14,0.14,0.25
tktoolkit.csv,0.36,0.67,0.1,0.33,0.61,0.41,0.35,0.75,0.3,0.82,0.65,0.07,0.26,0.35,0.42
xstore.csv,0.39,0.74,0.32,0.0,0.27,0.24,0.38,0.46,0.18,0.23,0.77,0.13,0.15,0.35,0.52
yaprm.csv,0.3,0.0,0.22,0.28,0.66,0.27,0.61,0.59,0.33,0.13,0.38,0.69,0.25,0.25,0.0
