,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.62,0.74,0.7,0.5,0.26,0.28,0.6,0.62,0.43,0.28,0.51,0.67,0.46,0.58,0.67,0.98,0.75,0.14
cornerstone.csv,0.65,0.8,0.91,0.54,0.38,0.75,0.67,0.67,0.54,0.44,0.98,0.59,0.65,0.95,0.57,0.8,0.5,0.34
emeraldemu.csv,0.77,0.54,0.52,0.54,0.24,0.27,0.47,0.95,0.28,0.19,0.57,0.41,0.51,0.35,0.34,0.56,0.5,0.54
grafx2.csv,0.68,0.79,0.7,0.88,0.5,0.44,0.53,0.66,0.63,0.56,0.69,0.67,0.61,0.98,0.7,0.59,0.5,0.45
jahshakafx.csv,0.99,0.43,0.48,0.21,0.2,0.11,0.27,0.42,0.17,0.22,0.39,0.11,0.07,0.23,0.16,0.38,0.5,0.23
maya-work-in-progress.csv,0.83,0.56,0.85,0.83,0.68,0.67,0.93,0.71,0.76,0.97,0.9,0.93,0.72,0.53,0.8,0.8,1.0,0.88
novembre.csv,0.12,0.25,0.55,0.21,0.04,0.13,0.87,0.14,0.12,0.06,0.16,0.26,0.3,0.35,0.3,0.34,0.5,0.07
ns-3.csv,0.88,0.68,0.88,0.75,0.44,0.99,0.8,0.74,0.71,0.5,0.45,1.0,0.71,0.88,0.47,0.94,0.75,0.43
nullc.csv,0.7,0.5,0.55,0.88,0.98,0.78,0.93,0.64,0.61,0.59,0.49,0.63,0.87,0.37,0.71,0.64,0.5,0.52
open-beos.csv,0.64,0.51,0.82,0.38,0.32,0.41,0.6,0.55,0.94,0.47,0.51,0.63,0.59,0.7,0.61,0.65,0.5,0.48
pixel-commandos.csv,0.37,0.42,0.24,0.21,0.14,0.07,0.13,0.26,0.06,0.03,0.16,0.04,0.12,0.3,0.18,0.28,1.0,0.07
planeshift.csv,0.84,0.88,0.94,0.79,0.48,0.64,0.8,0.84,0.71,0.66,0.67,0.81,0.98,0.74,0.72,0.94,0.75,0.8
plee-the-bear.csv,0.28,0.13,0.88,0.04,0.5,0.59,0.27,0.36,0.54,0.56,0.49,0.41,0.37,0.33,0.45,0.32,0.5,0.71
reaper-ecad.csv,0.62,0.0,0.79,0.96,0.7,0.82,0.73,0.66,0.7,0.81,0.45,0.0,0.59,0.14,0.63,0.67,0.5,0.59
sbml.csv,0.93,0.82,0.85,0.92,0.5,0.55,0.8,0.86,0.72,0.53,0.9,0.93,0.84,0.6,1.0,0.73,1.0,0.57
unimrcp.csv,0.44,0.18,0.24,0.04,0.3,0.07,0.2,0.19,0.08,0.22,0.27,0.93,0.07,0.16,0.11,0.25,0.0,0.09
unladen-swallow.csv,0.09,0.53,0.42,0.17,0.3,0.51,0.47,0.36,0.48,0.66,0.12,0.3,0.31,0.4,0.41,0.18,0.0,0.45
zxing.csv,0.45,0.45,0.76,0.29,0.44,0.38,0.6,0.46,0.45,0.59,0.31,0.0,0.39,0.0,0.28,0.76,0.75,1.0
