,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.64,0.7,0.69,0.53,0.3,0.32,0.59,0.62,0.48,0.33,0.53,0.61,0.51,0.62,0.65,0.98,0.76,0.17
cornerstone.csv,0.65,0.75,0.74,0.58,0.43,0.62,0.58,0.64,0.58,0.48,0.98,0.5,0.63,0.21,0.53,0.71,0.46,0.39
emeraldemu.csv,0.75,0.58,0.57,0.54,0.28,0.31,0.5,0.96,0.32,0.23,0.55,0.46,0.53,0.4,0.39,0.58,0.55,0.46
grafx2.csv,0.67,0.74,0.65,0.8,0.49,0.47,0.53,0.66,0.61,0.58,0.58,0.58,0.6,0.98,0.67,0.61,0.52,0.49
jahshakafx.csv,0.99,0.48,0.53,0.25,0.24,0.13,0.31,0.47,0.2,0.26,0.43,0.13,0.09,0.27,0.19,0.43,0.55,0.27
maya-work-in-progress.csv,0.61,0.53,0.71,0.73,0.65,0.62,0.51,0.54,0.62,0.97,0.45,0.75,0.47,0.55,0.66,0.56,0.69,0.68
novembre.csv,0.15,0.29,0.58,0.25,0.05,0.16,0.89,0.17,0.15,0.07,0.19,0.3,0.34,0.38,0.32,0.39,0.55,0.09
ns-3.csv,0.67,0.59,0.68,0.68,0.42,0.99,0.43,0.63,0.66,0.51,0.46,0.3,0.56,0.7,0.51,0.54,0.66,0.44
nullc.csv,0.44,0.44,0.42,0.46,0.97,0.57,0.54,0.6,0.49,0.39,0.52,0.58,0.32,0.41,0.56,0.49,0.45,0.57
open-beos.csv,0.66,0.54,0.8,0.43,0.36,0.44,0.58,0.58,0.95,0.52,0.53,0.59,0.6,0.34,0.58,0.66,0.51,0.51
pixel-commandos.csv,0.42,0.47,0.28,0.25,0.17,0.09,0.16,0.3,0.07,0.04,0.19,0.05,0.15,0.35,0.22,0.33,1.0,0.09
planeshift.csv,0.7,0.43,0.57,0.48,0.52,0.58,0.52,0.66,0.61,0.6,0.57,0.58,0.98,0.7,0.61,0.49,0.58,0.55
plee-the-bear.csv,0.29,0.16,0.9,0.05,0.0,0.48,0.3,0.39,0.48,0.27,0.45,0.4,0.38,0.32,0.37,0.35,0.45,0.51
reaper-ecad.csv,0.58,0.0,0.61,0.97,0.3,0.45,0.69,0.59,0.5,0.46,0.48,0.0,0.59,0.17,0.59,0.59,0.39,0.52
sbml.csv,0.85,0.67,0.75,0.79,0.53,0.55,0.58,0.68,0.65,0.57,0.48,0.79,0.62,0.64,0.99,0.64,0.78,0.56
unimrcp.csv,0.49,0.21,0.28,0.05,0.35,0.09,0.24,0.23,0.1,0.26,0.31,0.94,0.09,0.19,0.13,0.29,0.0,0.11
unladen-swallow.csv,0.11,0.58,0.42,0.2,0.29,0.48,0.49,0.39,0.46,0.58,0.15,0.31,0.35,0.42,0.39,0.21,0.0,0.35
zxing.csv,0.49,0.45,0.71,0.32,0.46,0.42,0.6,0.5,0.48,0.58,0.35,0.0,0.43,0.0,0.32,0.65,0.74,1.0
