,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,99.0,97.5,342.0,0.0,0.0,231.0,241.5,389.0,197.5,716.0
aubit4gl.csv,162.0,97.5,421.5,307.5,96.5,1678.0,93.5,80.5,197.5,36.5
liferea.csv,99.0,94.5,550.5,89.5,95.5,366.0,258.5,391.5,80.5,1866.5
moving-pictures.csv,99.0,94.5,768.5,340.5,95.5,203.5,273.5,91.5,78.5,863.0
opensim4opencog.csv,99.0,97.5,355.0,188.0,97.5,307.0,449.5,487.0,98.5,2160.0
plearn.csv,99.0,97.5,280.0,188.0,91.5,391.5,449.5,192.0,197.5,2104.0
psrchive.csv,99.0,97.5,187.0,571.0,96.5,2442.5,172.0,684.0,197.5,1349.0
re2c.csv,470.5,97.5,370.0,182.0,96.5,883.0,284.5,95.5,494.0,2554.5
rebecca-aiml.csv,99.0,97.5,467.5,376.0,196.5,1415.0,383.0,584.5,278.0,2551.5
xfce.csv,99.0,97.5,378.5,283.5,97.5,882.0,190.0,585.5,98.5,4657.0
