,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.5,0.13,0.18,0.56,0.31,0.38,0.98,0.17,0.62,0.69,0.32,0.79,0.65,0.22,0.44,0.42,0.68,0.74,0.63
aubit4gl.csv,0.44,0.31,0.23,0.47,0.31,0.28,0.54,0.12,0.99,0.63,0.2,0.36,0.53,0.25,0.36,0.36,0.18,0.56,0.42
ipfilter.csv,0.34,0.26,0.19,0.39,0.2,0.33,0.47,0.0,0.61,0.68,0.28,0.8,0.49,0.23,0.51,0.42,1.0,0.75,0.51
jmol.csv,0.38,0.19,0.19,0.55,0.25,0.38,0.72,0.12,0.69,0.75,0.17,1.0,0.65,0.23,0.69,0.41,0.84,0.89,0.33
liferea.csv,0.45,0.16,0.05,0.53,0.33,0.92,0.5,0.21,0.53,0.75,0.25,0.65,0.6,0.21,0.34,0.36,0.53,0.55,0.37
miranda-icq.csv,0.26,0.13,0.2,0.16,0.26,0.44,0.48,0.21,0.53,0.57,0.23,0.64,0.27,0.21,0.4,0.99,0.64,0.56,0.25
moving-pictures.csv,0.46,0.31,0.24,0.52,0.24,0.43,0.32,0.16,0.62,0.69,0.21,0.49,0.59,0.25,1.0,0.38,0.28,0.59,0.49
opensim4opencog.csv,0.24,0.0,0.22,0.07,0.15,0.0,0.2,0.0,0.31,0.04,0.98,0.56,0.3,0.17,0.07,0.27,0.21,0.15,0.09
pclasses.csv,0.06,1.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.09
pfaedit.csv,0.35,0.12,0.16,0.56,0.29,0.4,0.55,0.24,0.61,0.99,0.24,0.65,0.48,0.25,0.4,0.39,0.56,0.75,0.65
plearn.csv,0.97,0.27,0.25,0.37,0.2,0.16,0.4,0.19,0.64,0.24,0.15,0.69,0.41,0.21,0.47,0.32,0.67,0.71,0.25
psrchive.csv,0.25,0.25,0.0,0.18,0.96,0.13,0.0,0.25,0.47,0.47,0.22,0.27,0.15,0.2,0.29,0.22,0.26,0.4,0.19
re2c.csv,0.42,0.17,0.91,0.36,0.36,0.34,0.45,0.1,0.65,0.24,0.21,0.67,0.45,0.28,0.44,0.39,0.79,0.8,0.29
rockbox.csv,0.33,0.24,0.12,0.54,0.29,0.42,0.5,0.15,0.62,0.71,0.24,0.72,0.56,0.2,0.59,0.37,0.47,0.76,0.97
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tktoolkit.csv,0.11,0.16,0.0,0.2,0.19,0.21,0.27,0.0,0.42,0.35,0.11,0.56,0.26,0.95,0.43,0.21,0.37,0.37,0.09
tzod.csv,0.38,0.26,0.2,0.98,0.24,0.37,0.68,0.13,0.69,0.74,0.26,0.81,0.38,0.23,0.29,0.44,0.46,0.84,0.09
yaprm.csv,0.33,0.07,0.16,0.23,0.11,0.0,0.13,0.22,0.24,0.25,0.09,0.21,0.96,0.04,0.31,0.27,0.35,0.29,0.21
zemljanka.csv,0.45,0.3,0.19,0.53,0.27,0.37,0.74,0.11,0.69,0.76,0.22,0.88,0.65,0.23,0.66,0.4,0.83,1.0,0.54
