,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.69,0.27,0.5,0.59,0.64,0.85,0.98,1.0,0.72,0.76,0.65,0.74,0.84,0.65,0.43,0.73,0.61,0.59,0.68
aubit4gl.csv,0.56,0.45,0.67,0.48,0.64,0.31,0.51,0.33,0.98,0.57,0.3,0.23,0.57,0.57,0.29,0.62,0.11,0.39,0.47
ipfilter.csv,0.63,0.82,0.67,0.48,0.43,0.85,0.49,0.0,0.69,0.78,0.83,0.77,0.51,0.87,0.61,0.79,1.0,0.61,0.68
jmol.csv,0.53,0.45,1.0,0.85,0.86,1.0,0.95,1.0,0.98,0.98,0.65,1.0,0.95,0.96,0.89,0.96,1.0,0.84,0.47
liferea.csv,0.56,0.18,0.17,0.59,0.64,0.92,0.37,1.0,0.5,0.78,0.35,0.52,0.65,0.48,0.25,0.38,0.43,0.38,0.26
miranda-icq.csv,0.25,0.18,0.33,0.11,0.5,0.54,0.37,0.67,0.57,0.46,0.78,0.5,0.22,0.43,0.36,0.98,0.5,0.4,0.16
moving-pictures.csv,0.49,0.45,0.67,0.59,0.43,0.62,0.2,1.0,0.67,0.65,0.35,0.33,0.65,0.48,1.0,0.63,0.17,0.43,0.53
opensim4opencog.csv,0.15,0.0,0.17,0.04,0.14,0.0,0.15,0.0,0.2,0.02,0.96,0.43,0.19,0.13,0.04,0.19,0.13,0.08,0.05
pclasses.csv,0.03,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05
pfaedit.csv,0.44,0.09,0.33,0.7,0.43,0.92,0.41,1.0,0.61,0.98,0.52,0.52,0.49,0.78,0.36,0.58,0.43,0.6,0.58
plearn.csv,0.97,0.55,0.17,0.41,0.21,0.15,0.32,1.0,0.74,0.15,0.22,0.58,0.35,0.35,0.46,0.4,0.63,0.57,0.26
psrchive.csv,0.15,0.18,0.0,0.11,0.93,0.08,0.0,0.33,0.41,0.33,0.22,0.16,0.08,0.22,0.18,0.15,0.15,0.25,0.11
re2c.csv,0.36,0.27,0.83,0.37,0.5,0.46,0.37,0.67,0.78,0.15,0.17,0.54,0.41,0.65,0.46,0.6,0.8,0.7,0.37
rockbox.csv,0.56,0.45,0.33,0.78,0.71,0.85,0.39,0.67,0.7,0.7,0.65,0.66,0.68,0.61,0.68,0.6,0.37,0.62,1.0
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tktoolkit.csv,0.07,0.27,0.0,0.15,0.21,0.15,0.17,0.0,0.3,0.26,0.17,0.42,0.16,0.91,0.39,0.17,0.28,0.23,0.05
tzod.csv,0.49,0.27,0.33,0.96,0.36,0.92,0.76,0.67,0.91,0.72,0.61,0.8,0.32,0.96,0.25,0.81,0.35,0.74,0.05
yaprm.csv,0.31,0.09,0.5,0.19,0.14,0.0,0.07,0.33,0.17,0.19,0.09,0.12,0.92,0.04,0.21,0.31,0.22,0.17,0.16
zemljanka.csv,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.97,0.97,1.0,0.96,0.96,1.0,1.0,1.0
