,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.61,0.44,0.71,0.5,0.71,0.5,0.39,0.53,0.79,0.36,0.88,0.64,0.59,0.48,0.7,0.44,0.38,0.55,0.53,0.39
cme.csv,0.0,0.92,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.97,0.67,0.0,0.83
free-evolution.csv,0.6,0.32,0.43,0.52,0.48,0.36,0.45,0.38,0.52,0.35,0.4,0.59,0.43,0.83,0.42,0.33,0.35,0.72,0.46,0.35
gtad.csv,0.67,0.35,0.34,0.86,0.63,0.37,0.5,0.9,0.59,0.43,0.71,0.75,0.79,0.86,0.85,0.38,0.87,0.68,0.64,0.8
gusanos.csv,0.65,0.8,0.45,0.36,0.47,0.39,0.42,0.74,0.48,0.4,0.46,0.49,0.5,0.42,0.41,0.33,0.41,0.49,0.43,0.35
kaffeine.csv,0.34,0.89,0.33,0.37,0.46,0.32,0.42,0.42,0.46,0.35,0.41,0.38,0.33,0.4,0.34,0.33,0.38,0.43,0.37,0.31
lcfizvtop.csv,0.47,0.74,0.34,0.38,0.49,0.39,0.33,0.57,0.49,0.4,0.47,0.45,0.5,0.54,0.43,0.33,0.33,0.49,0.45,0.37
m-a-d-n-e-s-s.csv,0.67,0.29,0.51,0.83,0.73,0.47,0.67,0.44,0.75,0.67,0.7,0.71,0.48,0.75,0.89,0.38,0.78,0.94,0.86,0.44
m-m-m.csv,0.41,0.55,0.44,0.53,0.44,0.39,0.69,0.45,0.42,0.36,0.44,0.53,0.56,0.44,0.46,0.38,0.41,0.51,0.48,0.53
mediaportal.csv,0.89,0.8,0.51,0.67,0.95,0.78,0.5,0.39,0.62,0.83,0.7,0.98,0.92,0.88,0.66,0.89,0.56,0.83,0.69,0.64
mvnforum.csv,0.61,0.77,0.63,0.94,0.98,0.45,0.93,0.55,0.97,0.58,0.96,0.92,0.84,0.89,0.59,0.92,0.99,0.96,0.81,0.88
myfaces.csv,0.41,0.34,0.49,0.8,0.57,0.39,0.44,0.39,0.59,0.3,0.61,0.49,0.42,0.58,0.68,0.37,0.43,0.62,0.45,0.34
nh3d.csv,0.34,0.52,0.83,0.4,0.41,0.38,0.56,0.37,0.41,0.31,0.42,0.97,0.39,0.39,0.42,0.36,0.0,0.45,0.41,0.39
ogrehg.csv,0.52,0.71,0.51,0.78,0.47,0.39,0.82,0.4,0.46,0.36,0.5,0.55,0.5,0.58,0.45,0.41,0.53,0.68,0.61,0.52
pnotepad.csv,0.34,0.38,0.45,0.37,0.45,0.37,0.57,0.38,0.44,0.33,0.4,0.44,0.4,0.45,0.42,0.34,0.35,0.43,0.41,0.39
pydev.csv,0.55,0.45,0.43,0.58,0.62,0.4,0.62,0.5,0.6,0.41,0.56,0.48,0.46,0.5,0.52,0.45,0.49,0.47,0.5,0.34
sarasvati.csv,0.41,0.79,0.46,0.86,0.64,0.58,0.62,0.63,0.46,0.56,0.55,0.72,0.93,0.48,0.94,0.59,0.45,0.68,0.64,0.53
taokgame.csv,0.92,0.75,0.0,0.75,0.97,0.87,0.67,0.95,0.85,0.81,0.76,0.97,0.67,0.8,0.89,0.9,0.98,0.9,0.86,0.75
tokratan.csv,0.38,0.33,0.51,0.75,0.97,0.39,0.5,0.39,0.65,0.37,0.54,0.43,0.44,0.56,0.43,0.39,0.43,0.65,0.46,0.42
wgs-assembler.csv,0.46,0.51,0.51,0.88,0.51,0.42,0.87,0.45,0.48,0.59,0.49,0.59,0.58,0.67,0.56,0.39,0.61,0.71,0.6,0.54
