,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.46,0.77,0.72,0.7,0.75,0.5,0.68,0.55,0.53,0.55,0.72
azureus.csv,0.72,1.0,0.9,1.0,1.0,0.9,0.75,0.8,0.88,0.95,0.97
forester-atv.csv,0.55,0.88,0.21,0.14,0.38,0.3,0.91,0.83,0.41,0.47,0.17
gabel.csv,0.01,0.46,0.38,0.43,0.75,0.4,0.25,0.65,0.0,0.26,0.13
google-collections.csv,0.82,0.96,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
javaprofiler.csv,0.52,0.96,0.62,0.86,0.88,0.8,0.79,0.93,0.71,0.97,0.84
mycila.csv,0.91,0.31,0.93,0.38,1.0,0.7,0.62,0.65,0.47,0.83,0.77
neodatis-odb.csv,0.82,0.73,0.59,0.65,0.38,0.4,0.55,0.18,0.06,0.82,0.31
pokenetonline.csv,0.41,0.92,0.9,0.92,0.75,0.7,0.98,0.78,0.94,0.83,0.57
rcp-company-uibindings.csv,0.66,0.77,0.48,0.49,0.38,0.3,0.61,0.2,0.41,0.87,0.24
servicestack.csv,0.05,0.54,0.21,0.19,0.0,0.1,0.12,0.22,0.76,0.1,0.01
