,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.55,0.38,0.5,0.44,0.51,0.42,0.45,0.5,0.64,0.37,0.46
azureus.csv,0.38,0.35,0.33,0.4,0.46,0.4,0.53,0.33,0.41,0.41,0.41
forester-atv.csv,0.53,0.41,0.9,0.89,0.89,0.71,0.39,0.36,0.9,0.51,0.93
gabel.csv,0.0,0.58,0.67,0.43,0.68,0.64,0.97,0.38,0.0,0.69,0.92
google-collections.csv,0.36,0.35,0.32,0.4,0.46,0.37,0.4,0.34,0.41,0.39,0.4
javaprofiler.csv,0.56,0.35,0.42,0.43,0.46,0.38,0.47,0.36,0.56,0.41,0.48
mycila.csv,0.4,0.74,0.33,0.56,0.46,0.83,0.58,0.44,0.51,0.46,0.45
neodatis-odb.csv,0.41,0.4,0.52,0.79,0.58,0.89,0.62,0.93,0.83,0.46,0.8
pokenetonline.csv,0.48,0.31,0.36,0.4,0.44,0.42,0.38,0.4,0.49,0.42,0.48
rcp-company-uibindings.csv,0.36,0.33,0.44,0.41,0.47,0.53,0.49,0.86,0.45,0.42,0.65
servicestack.csv,0.75,0.55,0.86,0.89,0.67,0.86,0.94,0.92,0.57,0.96,0.0
