,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.47,0.49,0.74,0.5,0.66,0.39,0.58,0.55,0.58,0.59,0.69
azureus.csv,0.76,0.0,0.13,0.0,0.0,0.35,0.76,0.67,0.37,0.54,0.13
forester-atv.csv,0.54,0.84,0.25,0.17,0.43,0.34,0.43,0.56,0.46,0.45,0.2
gabel.csv,0.01,0.49,0.43,0.42,0.76,0.44,0.29,0.59,0.0,0.3,0.16
google-collections.csv,0.85,0.0,0.0,0.0,0.0,0.0,0.24,0.48,0.0,0.0,0.13
javaprofiler.csv,0.52,0.3,0.62,0.36,0.59,0.2,0.57,0.54,0.71,0.75,0.81
mycila.csv,0.0,0.35,0.0,0.4,0.27,0.73,0.62,0.56,0.33,0.34,0.54
neodatis-odb.csv,0.0,0.5,0.57,0.66,0.39,0.45,0.57,0.21,0.07,0.73,0.35
pokenetonline.csv,0.46,0.39,0.39,0.52,0.5,0.56,0.24,0.78,0.75,0.73,0.5
rcp-company-uibindings.csv,0.71,0.64,0.51,0.45,0.42,0.34,0.61,0.24,0.44,0.89,0.28
servicestack.csv,0.06,0.58,0.25,0.22,0.0,0.12,0.15,0.26,0.76,0.12,0.01
