,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.8,0.65,0.91,0.77,0.93,0.68,0.87,0.65,0.82,0.67
empserver.csv,0.82,0.71,0.78,0.99,0.58,0.63,0.62,0.81,0.49,0.48
enlightenment.csv,0.55,0.46,0.59,0.54,0.42,0.68,0.49,0.6,0.43,0.55
ffigo.csv,0.54,0.42,0.45,0.55,0.44,0.89,0.56,0.46,0.38,0.47
ildjit.csv,0.94,0.9,0.99,0.94,0.92,0.88,0.98,0.88,0.98,0.8
jfreereport.csv,0.87,0.83,0.99,0.98,0.9,0.89,0.96,0.97,0.91,0.85
mplayer-ce.csv,0.53,0.54,0.62,0.52,0.48,0.43,0.67,0.46,0.59,0.56
psycle.csv,0.48,0.44,0.46,0.45,0.38,0.48,0.44,0.45,0.36,0.7
wikipediardware.csv,0.47,0.48,0.4,0.44,0.4,0.35,0.4,0.39,0.34,0.46
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.5,0.0,0.0
