,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.36,0.28,0.21,0.25,0.25,0.25,0.96,0.29,0.28,0.08
empserver.csv,0.27,0.45,0.32,0.27,0.92,0.38,0.49,0.37,0.73,0.55
enlightenment.csv,0.5,0.72,0.54,0.98,0.53,0.25,0.55,0.42,0.74,0.42
ffigo.csv,0.56,0.48,0.76,0.57,0.56,0.0,0.64,0.93,0.88,0.58
ildjit.csv,0.05,1.0,0.04,0.02,0.17,0.0,0.12,0.04,0.09,0.08
jfreereport.csv,0.29,0.17,0.9,0.23,0.14,0.0,0.14,0.24,0.32,0.24
mplayer-ce.csv,0.82,0.41,0.53,0.71,0.75,1.0,0.44,0.76,0.97,0.63
psycle.csv,0.98,0.62,0.76,0.63,0.53,0.25,0.77,0.53,0.66,0.26
wikipediardware.csv,0.62,0.55,0.95,0.81,0.78,0.62,0.97,0.76,0.87,0.97
wxjs.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
