,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.6,0.24,0.16,0.78,0.6,0.09,0.99,0.71,0.48,1.0
empserver.csv,0.71,0.25,0.13,0.65,1.0,0.1,0.18,0.78,0.46,0.78
enlightenment.csv,0.82,0.3,0.17,1.0,0.53,0.07,0.27,0.64,0.45,0.8
ffigo.csv,0.72,0.16,0.15,0.67,0.49,0.0,0.34,1.0,0.45,0.73
ildjit.csv,0.53,1.0,0.08,0.39,0.5,0.0,0.21,0.38,0.41,0.6
jfreereport.csv,0.53,0.12,0.99,0.52,0.5,0.0,0.48,0.49,0.49,0.69
mplayer-ce.csv,0.66,0.14,0.13,0.56,0.5,0.09,0.27,0.62,1.0,0.67
psycle.csv,0.99,0.24,0.14,0.62,0.45,0.04,0.28,0.69,0.44,1.0
wikipediardware.csv,0.76,0.23,0.14,0.63,0.53,0.07,0.23,0.68,0.46,1.0
wxjs.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
