,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.79,0.77,0.81,0.76,0.77,0.78,0.04,0.74,0.76,0.92
empserver.csv,0.76,0.68,0.75,0.76,0.08,0.69,0.81,0.66,0.76,0.62
enlightenment.csv,0.54,0.58,0.61,0.02,0.7,0.8,0.61,0.71,0.78,0.65
ffigo.csv,0.61,0.93,0.71,0.58,0.78,1.02,0.5,0.07,0.91,0.71
ildjit.csv,0.95,0.0,0.96,0.98,0.85,1.0,0.89,0.97,0.91,0.93
jfreereport.csv,0.87,0.91,0.1,0.83,0.87,1.0,0.86,0.88,0.73,0.81
mplayer-ce.csv,0.84,0.94,0.72,0.83,0.86,0.87,0.65,0.83,0.03,0.93
psycle.csv,0.03,0.7,0.73,0.65,0.84,0.95,0.6,0.63,0.78,0.74
wikipediardware.csv,0.53,0.72,0.87,0.7,0.79,0.85,0.89,0.66,0.86,0.03
wxjs.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
