,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.0,6.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0
empserver.csv,1.0,12.0,0.0,0.0,0.0,15.0,2.0,0.0,5.0,1.0
enlightenment.csv,2.0,0.0,0.0,0.0,1.0,8.0,4.0,5.0,4.0,0.0
ffigo.csv,0.0,17.0,1.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0
ildjit.csv,0.0,0.0,42.0,4.0,4.0,97.0,13.0,1.0,3.0,2.0
jfreereport.csv,5.0,9.0,0.0,0.0,0.0,97.0,0.0,2.0,3.0,0.0
mplayer-ce.csv,0.0,15.0,2.0,1.0,1.0,42.0,4.0,1.0,0.0,0.0
psycle.csv,0.0,3.0,2.0,0.0,2.0,34.0,8.0,0.0,1.0,0.0
wikipediardware.csv,0.0,9.0,2.0,1.0,0.0,27.0,12.0,4.0,0.0,0.0
wxjs.csv,268.0,125.0,1341.0,530.0,68.0,0.0,355.0,119.0,627.0,51.0
