,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.71,0.61,0.59,0.02
k3b.csv,0.83,0.08,0.71,0.75
mp-rechnungs-und-kundenverwaltung.csv,0.7,0.69,0.13,0.85
thrust.csv,0.06,0.82,0.92,0.93
