,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.32,0.56,0.46,0.99
k3b.csv,0.33,0.98,0.5,0.59
mp-rechnungs-und-kundenverwaltung.csv,0.33,0.51,0.92,0.26
thrust.csv,0.94,0.31,0.14,0.12
