,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.35,0.41,0.53,0.98
k3b.csv,0.59,1.0,0.83,0.55
mp-rechnungs-und-kundenverwaltung.csv,0.41,0.38,0.87,0.16
thrust.csv,0.94,0.19,0.09,0.07
