,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,198.0,644.5,98.5,99.0,467.5,294.5,1508.0,293.5,191.0,66.5,98.5,98.5,197.5,610.5
crisscross.csv,198.0,1824.0,304.0,99.0,659.5,99.0,2998.5,293.5,194.0,294.5,98.5,98.5,99.0,782.5
gisgraphy.csv,99.0,1185.5,1071.0,198.0,183.0,58.5,710.5,195.0,78.5,84.5,92.5,95.5,77.5,173.0
glelite.csv,198.0,1732.5,98.5,99.0,659.5,99.0,2843.5,293.5,194.0,294.5,99.0,98.5,99.0,1235.0
gnome-jabber.csv,198.0,575.0,543.5,99.0,659.5,294.5,1563.0,191.0,86.5,97.5,98.5,97.5,98.5,673.0
ivataopenportal.csv,198.0,1824.0,98.5,99.0,467.5,99.0,1945.5,293.5,194.0,196.0,99.0,98.5,98.5,1073.0
mb-unit.csv,198.0,456.0,98.5,297.0,659.5,99.0,2447.5,195.0,191.0,294.5,99.0,98.5,99.0,1235.0
mvdsv.csv,178.0,955.0,0.0,98.5,180.0,63.0,94.0,168.0,86.5,66.5,86.5,93.5,78.5,74.5
nova.csv,99.0,157.0,387.0,297.0,1982.0,99.0,2613.0,293.5,275.5,196.0,99.0,98.5,197.5,878.0
olex2.csv,198.0,972.5,962.5,198.0,1276.0,99.0,565.5,96.5,191.0,97.5,99.0,98.5,99.0,1034.0
openwbem.csv,98.5,206.5,83.5,198.0,1296.5,99.0,1173.0,293.5,190.0,196.0,98.5,98.5,197.5,950.5
tencompetence.csv,99.0,542.0,1338.5,198.0,1000.5,99.0,1635.5,80.5,92.5,290.5,99.0,92.5,99.0,801.5
xcmetadataservicestoolkit.csv,198.0,1824.0,2558.0,99.0,566.0,99.0,2800.0,95.5,194.0,294.5,99.0,98.5,99.0,1155.5
