,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.48,0.7,0.21,0.22,0.3,0.86,0.35,0.19,0.52,0.66,1.0,0.3,0.79,0.1,0.54,0.44
biodwh.csv,0.56,0.8,0.67,0.38,0.0,0.0,0.17,0.47,0.0,1.0,0.4,0.25,0.5,1.0,0.75,1.0
bloodycore.csv,0.38,0.78,0.22,0.98,0.19,0.43,0.25,0.19,0.22,0.54,0.29,0.23,0.65,0.15,0.46,0.21
blue-c.csv,0.47,0.78,0.31,0.23,0.25,1.0,0.28,0.22,0.37,0.54,0.64,0.33,0.73,0.14,0.51,0.65
etics.csv,0.53,0.84,1.0,0.21,0.31,1.0,0.38,0.23,0.38,0.51,0.56,0.27,0.75,0.25,0.77,0.75
flexpay.csv,0.35,0.74,0.1,0.15,0.18,0.49,0.3,0.99,0.13,0.54,0.39,0.19,0.61,0.14,0.47,0.22
flylegacy.csv,0.57,0.97,0.43,0.19,0.26,0.0,0.3,0.22,0.28,0.7,0.44,0.29,0.67,0.31,0.47,0.86
ftm.csv,0.45,0.76,0.67,0.23,0.42,0.84,0.45,0.25,0.4,0.51,0.72,0.36,0.74,0.12,1.0,0.67
gzigzag.csv,0.42,1.0,0.8,0.22,1.0,1.0,0.31,0.28,0.5,0.51,0.57,0.4,0.8,0.2,0.48,0.2
img-browse-sort.csv,0.41,0.69,0.26,0.17,0.26,0.73,0.39,0.18,0.11,0.61,0.67,0.92,0.71,0.24,0.58,0.72
jcache.csv,0.4,0.75,0.0,0.1,0.26,0.33,0.42,0.17,0.17,0.48,0.83,0.29,0.6,0.15,0.57,0.97
jguard.csv,0.39,0.73,0.24,0.15,0.25,0.67,1.0,0.18,0.3,0.56,0.59,0.28,0.66,0.14,0.46,0.55
ppcboot.csv,0.44,0.82,0.31,0.14,0.28,0.57,0.26,0.2,0.39,0.98,0.65,0.24,0.71,0.16,0.52,0.58
qdvdauthor.csv,0.47,0.72,0.36,0.14,0.22,0.72,0.48,0.22,0.34,0.5,0.58,0.18,1.0,0.0,0.62,0.6
reactos-mirror.csv,1.0,0.77,0.27,0.17,0.23,0.65,0.39,0.17,0.31,0.48,0.56,0.26,0.76,0.15,0.49,0.43
unbvision.csv,0.39,0.82,0.16,0.13,0.33,0.36,0.29,0.22,1.0,0.54,0.56,0.4,0.67,0.14,0.49,0.6
