,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.25,0.19,0.08,1.0,0.39,0.11
codeblocks.csv,0.37,0.48,0.99,0.37,0.65,0.47
dataobjectsdotnet.csv,0.26,0.15,0.54,0.27,0.71,0.99
n2cms.csv,0.98,0.24,0.45,0.14,0.54,0.36
nug.csv,0.46,1.0,0.48,0.32,0.04,0.44
uclmda.csv,0.34,0.28,0.68,0.42,1.0,0.41
