,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.58,0.07,0.0,0.62,0.38,0.12,0.37,0.66,0.33,0.61,0.68,0.63,0.33,0.86
awemud.csv,0.69,0.42,0.4,0.61,0.83,0.59,0.48,0.72,0.71,0.67,0.71,0.63,0.64,0.95
buddata-ebxml-registry.csv,0.96,0.98,1.0,0.96,1.0,1.0,1.0,1.0,0.94,1.0,0.95,1.0,0.91,1.0
cornerstone.csv,0.05,0.22,0.0,0.04,0.52,0.02,0.03,0.0,0.73,0.11,0.08,0.53,0.24,0.09
firebreath.csv,0.54,0.07,0.07,0.55,0.5,0.53,0.63,0.47,0.63,0.28,0.5,0.58,0.37,0.77
lsb.csv,0.68,0.76,0.87,0.63,0.66,0.63,0.25,0.31,0.57,0.61,0.82,0.84,0.21,0.91
maya-work-in-progress.csv,0.73,0.82,0.6,0.71,0.91,0.79,0.55,0.78,0.94,0.61,0.68,0.79,0.63,0.95
mia.csv,0.14,0.11,0.8,0.24,0.05,0.39,0.2,0.5,0.51,0.56,0.37,0.05,0.06,0.41
open-beos.csv,0.85,0.27,0.73,0.69,0.5,0.64,0.3,0.34,0.45,0.33,0.71,0.21,0.51,0.82
qgis.csv,0.64,0.13,0.67,0.61,0.44,0.58,0.5,0.59,0.76,0.83,0.47,0.74,0.55,0.77
rocrail.csv,0.71,0.04,0.2,0.5,0.69,0.51,0.5,0.69,0.51,0.67,0.53,0.58,0.72,0.86
rtb-team.csv,0.51,0.02,0.8,0.35,0.02,0.25,0.2,0.19,0.47,0.11,0.18,0.37,0.45,0.41
tradelink.csv,0.6,0.29,0.2,0.37,0.41,0.31,0.05,0.19,0.14,0.61,0.24,0.68,0.79,0.32
upp-mirror.csv,0.47,0.51,0.13,0.37,0.67,0.41,0.4,0.41,0.27,0.5,0.26,0.37,0.43,0.55
