,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.37,0.46,0.65,0.43,0.51
google-gears.csv,0.42,0.55,0.43,0.41,0.5
httpcontentparser.csv,0.8,0.95,0.8,0.93,0.94
qse.csv,0.51,0.64,0.9,0.53,0.71
xmemcached.csv,0.68,0.78,0.94,0.45,0.66
