,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.74,0.8,0.89,0.91,0.72
google-gears.csv,0.83,0.75,0.95,1.0,1.0
httpcontentparser.csv,0.04,0.85,0.05,0.2,0.11
qse.csv,0.78,0.45,0.32,0.97,0.36
xmemcached.csv,0.96,0.5,0.21,0.89,0.59
