,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.72,0.4,0.49,0.98,0.56,0.88,0.68,0.65,0.94,0.73
flylegacy.csv,0.55,0.82,0.38,0.58,0.48,0.89,0.48,0.48,0.51,0.62
jguard.csv,0.47,0.63,0.53,0.58,0.56,0.67,0.38,0.48,0.52,0.68
m-a-d-n-e-s-s.csv,0.69,0.86,0.67,0.61,0.79,0.47,0.75,0.61,0.62,0.83
mob-sen-plat.csv,0.62,0.39,0.44,0.46,0.49,0.44,0.73,0.62,0.59,0.93
raygina.csv,0.56,0.89,0.47,0.62,0.58,0.67,0.48,0.56,0.78,0.55
st-filteredstatistics.csv,0.37,0.55,0.37,0.36,0.39,0.38,0.38,0.34,0.44,0.52
upp-mirror.csv,0.59,0.75,0.42,0.75,0.46,0.89,0.56,0.69,0.46,0.77
wishmaster.csv,0.79,0.5,0.45,0.98,0.45,0.5,0.92,0.52,0.53,0.59
yarp.csv,0.8,0.0,0.86,0.97,0.9,0.92,0.86,0.83,0.67,0.64
