,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.05,0.0,0.11,0.0,0.0,0.1,0.06,0.1,0.15,0.02,1.0
fceugc.csv,0.32,0.34,0.19,0.96,0.3,0.31,0.34,0.1,0.31,0.0,0.45
flexpay.csv,0.26,0.55,0.91,0.4,0.32,0.34,0.25,0.53,0.18,0.27,0.38
jstock.csv,0.04,0.25,0.31,0.12,0.44,0.39,0.3,1.0,0.18,0.05,0.12
keyczar.csv,0.22,0.47,0.33,0.22,0.48,0.26,0.16,0.35,0.14,0.99,0.02
modellus.csv,0.29,0.47,0.59,0.17,0.53,0.99,0.54,0.5,0.3,0.05,0.09
open-data-kit.csv,0.49,0.59,0.43,0.39,0.48,0.62,1.0,0.82,0.52,0.58,0.17
phet.csv,0.92,0.44,0.36,0.45,0.38,0.29,0.3,0.52,0.34,0.42,0.6
qtractor.csv,0.2,0.94,0.41,0.59,0.27,0.51,0.29,0.27,0.27,0.27,0.43
sumatrapdf.csv,0.39,0.57,0.6,0.58,1.0,0.72,0.64,0.47,0.64,0.4,0.61
synergyspace.csv,0.19,0.53,0.43,0.12,0.3,0.46,0.5,0.18,0.93,0.12,0.58
