,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.04,0.0,0.09,0.0,0.0,0.08,0.05,0.08,0.12,0.02,1.0
fceugc.csv,0.28,0.29,0.16,0.95,0.26,0.27,0.3,0.08,0.27,0.0,0.41
flexpay.csv,0.22,0.79,0.89,0.38,0.45,0.37,0.74,0.69,0.15,1.0,0.39
jstock.csv,0.03,0.21,0.27,0.1,0.39,0.34,0.26,1.0,0.15,0.04,0.1
keyczar.csv,0.19,0.46,0.29,0.19,0.68,0.22,0.13,0.31,0.12,1.0,0.02
modellus.csv,0.26,0.43,0.62,0.14,0.48,0.99,0.51,0.46,0.27,0.04,0.07
open-data-kit.csv,0.48,0.68,0.42,0.86,0.65,0.64,1.0,0.92,0.54,0.71,0.15
phet.csv,0.9,0.61,0.33,0.48,0.39,0.27,0.75,0.54,0.31,0.92,0.88
qtractor.csv,0.17,0.93,0.37,0.57,0.23,0.48,0.25,0.23,0.23,0.23,0.39
sumatrapdf.csv,0.38,0.75,0.73,0.95,1.0,0.77,0.66,0.46,0.85,0.42,0.59
synergyspace.csv,0.16,0.5,0.39,0.1,0.26,0.42,0.67,0.15,0.92,0.1,0.54
