,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.93,0.0,0.97,0.0,0.0,0.9,0.9,0.8,0.75,0.0,0.51
fceugc.csv,0.93,0.7,0.99,0.65,0.81,0.87,0.93,0.86,0.84,0.0,0.7
flexpay.csv,0.93,0.53,0.99,0.61,0.44,0.61,0.46,0.38,0.93,0.44,0.77
jstock.csv,0.97,0.89,0.8,0.67,0.75,0.68,0.72,0.77,0.94,0.67,0.75
keyczar.csv,0.71,0.5,0.63,0.6,0.38,0.83,0.94,0.67,0.74,0.45,0.75
modellus.csv,0.56,0.71,0.53,0.86,0.76,0.48,0.63,0.71,0.72,0.75,0.88
open-data-kit.csv,0.55,0.41,0.55,0.43,0.45,0.46,0.45,0.45,0.43,0.45,0.75
phet.csv,0.98,0.53,0.84,0.54,0.6,0.7,0.45,0.57,0.81,0.46,0.49
qtractor.csv,0.68,0.54,0.63,0.5,0.89,0.52,0.7,0.8,0.7,0.58,0.52
sumatrapdf.csv,0.46,0.53,0.45,0.45,0.65,0.43,0.51,0.46,0.57,0.7,0.53
synergyspace.csv,0.73,0.64,0.84,0.9,0.92,0.72,0.5,0.88,0.96,0.88,0.56
