,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,oscarmcmaster.csv
abbot.csv,0.13,0.21,0.57,0.51,0.3,0.55,0.41,0.0,0.53
jicarilla.csv,0.11,0.09,0.0,0.12,0.08,0.0,0.07,0.28,0.12
optalgtoolkit.csv,0.76,0.62,0.73,0.54,0.07,0.0,0.67,0.61,0.6
oscarmcmaster.csv,0.19,0.12,0.19,0.06,0.2,0.19,0.04,0.11,0.01
ossim.csv,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.44,0.71,0.68,0.51,0.61,0.55,0.04,0.67,0.46
sabbu.csv,0.0,0.32,0.11,0.29,0.66,0.58,0.3,0.56,0.51
vxl.csv,0.41,0.0,0.24,0.2,0.16,0.13,0.3,0.61,0.35
zact.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01
