,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.55,0.44,0.49,0.49,0.49,0.66,0.95,0.49,0.54,0.55,0.51,0.59,0.57,0.38,0.53
cornerstone.csv,0.48,0.44,0.36,0.6,0.65,0.46,0.63,0.48,0.43,0.79,0.38,0.68,0.42,0.33,0.51
esmf.csv,0.46,0.96,0.66,0.52,0.58,0.37,0.64,0.8,0.53,0.46,0.51,0.64,0.55,0.54,0.48
frogatto.csv,0.48,0.43,0.43,0.49,0.42,0.41,0.56,0.43,0.39,0.82,0.38,0.44,0.47,0.38,0.44
gretl.csv,0.42,0.45,0.36,0.41,0.38,0.33,0.42,0.37,0.44,0.43,0.38,0.43,0.41,0.4,0.39
kindb.csv,0.41,0.37,0.35,0.52,0.33,0.47,0.44,0.35,0.34,0.83,0.36,0.44,0.35,0.38,0.56
libtorrent.csv,0.41,0.44,0.37,0.4,0.37,0.33,0.4,0.39,0.43,0.37,0.37,0.44,0.38,0.43,0.35
mia.csv,0.94,0.97,0.94,0.99,0.92,0.93,0.94,0.93,0.88,0.93,0.79,0.77,0.89,0.65,0.95
open-beos.csv,0.48,0.56,0.51,0.58,0.48,0.42,0.7,0.57,0.37,0.48,0.46,0.71,0.52,0.44,0.61
pidgin.csv,0.43,0.39,0.4,0.5,0.39,0.41,0.43,0.4,0.4,0.92,0.39,0.43,0.45,0.42,0.5
quantlib.csv,0.63,0.72,0.66,0.93,0.67,0.74,0.43,0.9,0.73,0.83,0.65,0.54,0.73,0.88,0.95
riff-evolve.csv,0.44,0.54,0.41,0.56,0.41,0.43,0.56,0.46,0.55,0.61,0.44,0.58,0.41,0.45,0.53
tokratan.csv,0.69,0.78,0.8,0.51,0.66,0.58,0.93,0.45,0.68,0.86,0.52,0.8,0.8,0.4,0.95
upp-mirror.csv,0.85,0.79,0.45,0.8,0.64,0.89,0.8,0.65,0.6,0.89,0.75,0.76,0.55,0.57,0.87
wxcrp.csv,0.65,0.58,0.62,0.84,0.52,0.44,0.66,0.64,0.49,0.67,0.49,0.69,0.62,0.44,0.81
