,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.46,0.65,0.74,0.62,0.68,0.7,0.81,0.73,0.68,0.06,0.65,0.72,0.71,0.5,0.47
cornerstone.csv,0.47,0.56,0.57,0.63,0.68,0.07,0.37,0.53,0.57,0.85,0.58,0.81,0.43,0.47,0.45
esmf.csv,0.81,0.21,0.84,0.75,0.64,0.84,0.66,0.92,0.87,0.95,0.72,0.69,0.74,0.93,0.83
frogatto.csv,0.52,0.57,0.57,0.51,0.6,0.62,0.38,0.81,0.51,0.77,0.57,0.95,0.04,0.63,0.62
gretl.csv,0.92,0.72,0.88,0.92,0.71,0.88,0.95,0.72,0.07,0.88,0.69,0.77,0.79,0.64,0.82
kindb.csv,0.42,0.54,0.59,0.6,0.44,0.47,0.55,0.75,0.5,0.85,0.48,0.66,0.45,0.06,0.72
libtorrent.csv,0.88,0.88,0.78,0.69,0.77,0.94,0.92,0.88,0.94,0.89,0.0,0.84,0.72,0.82,0.84
mia.csv,0.65,0.8,0.85,0.79,0.76,0.85,0.83,0.22,0.83,0.91,0.83,0.77,0.9,0.83,0.98
open-beos.csv,0.57,0.7,0.52,0.02,0.59,0.84,0.56,0.61,0.46,0.51,0.63,0.76,0.58,0.67,0.78
pidgin.csv,0.49,0.51,0.48,0.57,0.02,0.65,0.54,0.77,0.56,0.66,0.53,0.62,0.37,0.37,0.62
quantlib.csv,0.59,0.77,0.68,0.76,0.71,0.83,0.91,0.58,0.78,0.85,0.64,0.89,0.64,0.76,0.17
riff-evolve.csv,0.5,0.62,0.57,0.57,0.51,0.66,0.46,0.68,0.7,0.78,0.62,0.07,0.45,0.64,0.73
tokratan.csv,0.69,0.68,0.97,0.63,0.74,0.69,0.07,0.8,0.76,0.75,0.57,0.77,0.92,0.48,0.81
upp-mirror.csv,0.75,0.76,0.03,0.64,0.73,0.84,0.96,0.42,0.67,1.03,0.75,0.57,0.59,0.8,0.88
wxcrp.csv,0.0,0.64,0.77,0.73,0.61,0.75,0.67,0.65,0.63,0.9,0.55,0.75,0.68,0.56,0.81
