,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.83,0.97,0.76,0.64,0.61,0.38,0.78,0.76,0.9,0.49,0.65,0.62,0.64
echongl.csv,0.57,0.62,0.54,0.99,0.36,0.97,0.5,0.68,0.67,0.67,0.66,0.81,0.67
les-indemodables.csv,0.56,0.59,0.84,0.52,0.67,0.5,0.49,0.62,0.66,0.62,0.83,0.63,0.89
mbse.csv,0.6,0.55,0.7,0.8,0.72,0.51,0.52,0.51,0.61,0.9,0.57,0.69,0.81
ns-3-dev-def-routing.csv,0.66,0.61,0.8,0.61,0.78,0.93,0.64,0.8,0.64,0.56,0.67,0.98,0.67
psycle.csv,0.49,0.5,0.4,0.35,0.31,0.36,0.42,0.43,0.46,0.47,0.34,0.43,0.58
qpe.csv,0.97,0.98,0.51,0.92,0.9,0.74,0.97,0.98,0.81,0.79,0.65,0.98,0.86
simplewebservices.csv,0.99,0.85,0.67,0.37,0.69,0.46,0.79,0.55,0.76,0.77,0.59,0.61,0.56
v8.csv,0.47,0.49,0.56,0.39,0.3,0.41,0.38,0.44,0.46,0.51,0.39,0.48,0.45
wikipediardware.csv,0.5,0.47,0.32,0.36,0.31,0.37,0.41,0.43,0.42,0.5,0.34,0.44,0.46
wxstudio.csv,0.89,0.97,0.9,0.0,0.75,0.94,0.97,0.97,0.63,0.94,0.94,0.97,0.0
xamj.csv,0.53,0.52,0.41,0.58,0.39,0.5,0.46,0.55,0.55,0.85,0.55,0.65,0.47
