,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.93,0.73,0.65,0.55,0.59,0.75,0.55,0.73,0.89,0.69,0.75,0.83,0.34,0.58,0.45
bscwweasel.csv,0.98,1.0,0.46,0.38,0.57,0.62,0.88,0.71,0.81,0.79,0.7,0.85,0.49,0.46,0.54
capcode.csv,0.98,0.79,0.81,0.77,0.71,0.39,0.76,0.65,0.5,0.55,0.81,0.77,0.36,0.52,0.87
cme.csv,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.98,0.96,1.0,0.67,1.0,1.0,1.0,0.02
emite.csv,0.6,0.77,0.62,0.74,0.54,0.85,0.74,0.82,0.8,0.9,0.68,0.5,0.7,0.6,0.64
fluent-nhibernate.csv,0.97,0.79,0.58,0.7,0.41,0.76,0.62,0.82,0.52,0.67,0.43,0.68,0.2,0.7,1.01
lamp.csv,0.8,0.43,0.65,0.63,0.98,0.78,0.95,0.58,0.7,0.56,0.97,0.81,0.42,0.76,0.6
mecat.csv,1.0,0.93,0.93,1.0,0.86,0.85,1.0,0.88,1.0,0.78,0.13,1.0,0.77,1.0,0.31
nodal.csv,0.99,0.86,0.69,0.64,0.88,0.61,0.98,0.95,0.45,0.55,0.75,0.84,0.42,0.69,0.84
pydev.csv,0.72,0.57,0.63,0.64,0.38,0.73,0.78,0.77,0.67,0.42,0.57,0.71,0.46,0.71,0.52
retromenu.csv,0.52,0.6,0.55,0.73,0.3,0.58,0.9,0.88,0.75,0.7,1.04,0.72,0.61,0.87,1.01
smbopensoft.csv,0.29,0.98,0.82,0.65,0.76,0.82,0.66,0.79,0.46,0.86,0.83,0.72,0.67,0.41,0.71
stuproa-cims.csv,1.0,0.79,0.6,0.63,0.55,0.77,0.98,0.48,0.72,0.69,0.61,0.74,0.41,0.52,0.9
thout.csv,0.79,0.94,0.46,0.71,0.62,0.84,0.87,0.88,0.97,0.68,0.88,0.88,0.52,0.7,0.57
uface.csv,1.0,1.0,0.88,0.59,0.8,0.74,1.0,0.72,0.73,0.7,0.73,0.6,0.68,0.09,0.9
