,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.07,0.5,0.39,0.55,0.71,0.58,0.66,0.56,1.0,0.61,0.33,0.97,0.71,0.63,0.8
bscwweasel.csv,0.02,0.0,0.68,0.7,0.48,0.42,0.12,0.67,0.22,0.92,0.33,0.23,0.53,0.57,0.6
capcode.csv,0.02,0.93,0.86,0.9,0.33,0.75,0.39,0.36,0.57,0.64,0.33,0.35,0.71,0.53,1.0
cme.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.04,0.0,0.33,0.0,0.0,0.0,1.0
emite.csv,0.89,0.43,0.41,0.3,0.67,0.25,0.32,0.2,0.22,0.11,0.33,0.65,0.35,0.41,0.4
fluent-nhibernate.csv,0.03,0.21,0.43,0.3,0.76,0.25,0.54,0.2,0.74,0.47,0.67,0.35,0.94,0.32,0.0
lamp.csv,0.24,0.64,0.36,0.6,1.0,0.67,0.94,0.49,0.7,0.67,1.0,0.26,0.82,0.72,1.0
mecat.csv,0.0,0.07,0.07,0.0,0.14,0.17,0.0,0.13,0.0,0.22,1.0,0.0,0.24,0.0,0.8
nodal.csv,0.01,0.14,0.32,0.4,0.14,0.42,0.02,0.05,0.61,0.67,0.33,0.16,0.65,0.31,0.2
pydev.csv,0.69,0.5,0.39,0.75,0.81,0.5,0.26,0.64,0.43,0.69,0.67,0.32,0.82,0.65,0.8
retromenu.csv,0.66,0.43,0.52,0.3,0.76,0.58,0.1,0.18,0.26,0.53,0.0,0.29,0.53,0.13,0.0
smbopensoft.csv,0.8,1.0,0.84,0.55,0.9,0.25,0.75,0.29,0.61,0.47,0.33,0.74,0.35,0.62,1.0
stuproa-cims.csv,0.0,0.21,0.45,0.4,0.81,0.25,0.02,0.55,0.61,0.69,0.67,0.29,0.65,0.84,0.2
thout.csv,0.26,0.86,0.59,0.3,0.76,0.92,0.94,0.82,1.0,0.53,0.67,0.9,0.82,0.8,0.6
uface.csv,1.0,1.0,0.91,0.85,1.0,0.83,0.99,0.67,0.52,0.64,1.0,0.71,0.94,0.93,1.0
