,f1,g,recall,precision,pf,wins
boost-sandbox.csv,0.37,0.52,0.61,0.3,0.44,8
bscwweasel.csv,0.31,0.52,0.48,0.3,0.22,10
capcode.csv,0.37,0.52,0.57,0.39,0.42,13
cme.csv,0.0,0.0,0.0,0.0,0.0,0
emite.csv,0.24,0.39,0.35,0.31,0.24,2
fluent-nhibernate.csv,0.42,0.39,0.35,0.38,0.19,7
lamp.csv,0.33,0.54,0.67,0.32,0.49,9
mecat.csv,0.13,0.09,0.07,0.25,0.04,1
nodal.csv,0.26,0.36,0.31,0.44,0.17,4
pydev.csv,0.37,0.57,0.65,0.3,0.43,14
retromenu.csv,0.28,0.34,0.3,0.35,0.19,3
smbopensoft.csv,0.34,0.55,0.62,0.24,0.5,6
stuproa-cims.csv,0.35,0.49,0.45,0.34,0.22,11
thout.csv,0.39,0.43,0.8,0.29,0.67,5
uface.csv,0.38,0.57,0.93,0.26,0.72,12
