,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.15,0.13,0.18,0.06,0.28,0.08,0.15,0.14,0.37,0.22,0.12
google-gears.csv,0.59,0.53,0.95,0.73,0.61,0.73,0.58,0.35,0.45,0.17,0.31
grafx2.csv,0.24,0.16,0.19,0.11,0.57,0.39,0.45,0.22,0.27,0.12,0.12
kmess.csv,0.25,0.03,0.25,0.03,0.29,0.01,0.47,0.08,0.27,0.3,0.12
megameknet.csv,0.75,0.89,0.82,0.3,0.78,0.25,0.75,0.62,0.49,0.27,0.56
minig.csv,1.0,0.92,0.47,0.25,0.96,0.33,0.98,0.97,0.15,0.49,0.31
ns-3.csv,0.4,0.97,0.4,0.06,0.16,0.18,0.78,0.3,0.15,0.14,0.19
omseek.csv,0.15,0.0,0.06,0.22,0.25,0.08,0.15,0.03,0.17,0.16,0.03
quickfast.csv,0.73,0.82,0.54,0.46,0.89,0.61,0.84,0.68,0.17,0.34,0.22
sylpheed-claws.csv,1.0,1.0,0.3,0.57,0.99,0.71,0.98,0.97,1.0,0.51,1.0
xamj.csv,0.85,0.79,0.49,0.13,0.88,0.92,0.69,0.76,0.27,0.22,0.34
