,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.21,0.53,0.59,0.67,0.72
intact.csv,0.76,0.43,0.91,0.75,0.55
miranda-icq.csv,0.63,0.61,0.47,0.71,0.74
ofbiz.csv,0.78,0.75,0.76,0.73,0.4
roolo.csv,0.8,0.83,0.74,0.39,0.75
