,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.62,0.1,0.49,0.0,0.17,0.19,0.2,0.19,0.43,0.65,0.4,0.0,0.29
apolloplayer.csv,0.4,0.72,0.42,0.74,0.53,0.47,0.69,0.4,0.32,0.44,0.54,0.68,0.64
auber.csv,0.44,0.05,0.31,0.0,0.0,0.39,0.43,0.48,0.48,0.2,0.5,0.05,0.78
irrlicht.csv,0.09,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.65,0.49,0.0
k3d.csv,0.51,0.15,0.34,0.99,0.49,0.12,0.81,0.57,0.41,0.42,0.21,0.44,0.42
nug.csv,0.59,0.29,0.8,0.91,0.54,0.13,0.69,0.62,0.55,0.43,0.53,0.0,0.3
owlapi.csv,0.7,0.24,0.45,0.97,0.36,0.38,0.39,0.19,0.63,0.82,0.47,0.0,0.35
ppcboot.csv,0.09,0.24,0.0,0.0,0.13,0.39,0.44,0.52,0.62,0.0,0.17,0.0,0.38
red5.csv,0.4,0.59,0.54,0.96,0.68,0.53,0.09,0.67,0.44,0.77,0.58,0.45,0.32
redshell.csv,0.19,0.36,0.32,0.0,0.56,0.74,0.5,0.45,0.58,0.36,0.52,0.43,0.47
utgb.csv,0.28,0.37,0.07,0.0,0.72,0.31,0.23,0.27,0.22,0.1,0.39,0.81,0.29
xreal.csv,0.1,0.2,0.07,0.0,0.48,0.27,0.39,0.46,0.21,0.1,0.23,1.0,0.01
