,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.24,0.96,0.17,0.63,0.42,0.44,0.46,0.26,0.74,0.65,0.56,0.85
gwanted.csv,0.46,0.63,0.33,0.67,0.39,0.79,0.41,0.49,0.18,0.0,0.78,0.03
ivatamasks.csv,0.41,0.82,0.13,0.77,0.81,0.56,0.46,0.35,0.65,0.71,0.77,0.81
java-gnome.csv,0.57,0.54,0.26,0.27,0.58,0.31,0.25,0.19,0.88,0.43,0.53,0.57
orc.csv,0.08,0.67,0.44,0.77,0.14,0.67,0.35,0.35,0.17,0.0,0.56,0.11
plato.csv,0.43,0.99,0.16,0.73,0.74,0.87,0.54,0.35,0.22,0.71,0.83,0.79
rodin-b-sharp.csv,0.69,0.49,0.41,0.38,0.21,0.76,0.79,0.19,0.87,0.0,0.42,0.54
tycho.csv,0.09,0.66,0.24,0.55,0.44,0.41,0.22,0.33,0.52,0.76,0.69,0.21
umber.csv,0.89,0.93,0.17,0.8,0.56,0.9,0.6,0.24,0.88,0.09,0.52,0.78
unicase.csv,0.68,0.96,0.21,0.74,0.48,0.92,0.58,0.34,0.88,0.55,0.79,0.74
vienna-add-in.csv,0.44,0.77,0.15,0.71,0.75,0.49,0.34,0.27,0.36,0.68,0.43,0.45
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.53,0.26,0.86,0.72,0.84,0.71
