,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.63,0.16,0.58,0.4
img-browse-sort.csv,0.62,0.75,0.43,0.55
pcsx2.csv,0.69,0.77,0.52,0.41
xstore.csv,0.73,0.72,0.48,0.43
