,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.96,0.91,0.53,0.64
img-browse-sort.csv,0.68,0.6,0.69,0.44
pcsx2.csv,0.54,0.42,0.65,0.87
xstore.csv,0.39,0.53,0.78,0.65
