,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.7,0.58,0.05,0.29,0.16,0.15,0.56,0.58,0.32,0.33,0.74,0.17,0.05,0.34
baadengine.csv,0.84,0.45,0.02,0.34,0.47,0.14,0.66,0.64,0.31,0.4,0.57,0.22,0.07,0.51
bnetd.csv,0.48,0.96,0.03,0.39,0.4,0.09,0.77,0.59,0.2,0.44,0.55,0.22,0.09,0.37
impala.csv,0.11,0.34,0.05,0.47,0.26,0.09,0.44,0.15,0.12,0.22,0.42,0.33,0.1,0.27
jaxen.csv,0.84,0.9,0.03,0.42,0.5,0.56,0.57,0.52,0.36,0.39,0.58,0.25,0.07,0.41
jgameai.csv,0.0,0.03,0.0,0.48,0.3,0.0,0.33,0.13,0.27,0.0,0.08,0.12,0.0,0.0
jparsec.csv,0.82,0.37,0.04,0.31,0.48,0.13,0.67,0.55,0.29,0.36,0.45,0.13,0.06,0.68
motu.csv,0.32,0.86,0.02,0.2,0.06,0.09,0.59,0.6,0.13,0.5,0.49,0.21,0.08,0.54
vars-redux.csv,0.84,0.47,0.04,0.17,0.48,0.18,0.64,0.7,0.27,0.39,0.43,0.21,0.07,0.51
werx.csv,0.85,0.98,0.02,0.46,0.47,0.13,0.65,0.55,0.31,0.32,0.56,0.21,0.05,0.57
wishmaster.csv,0.18,0.12,0.0,0.07,0.06,0.13,0.23,0.53,0.54,0.2,0.35,0.13,0.17,0.27
xreal.csv,0.12,0.2,0.0,0.21,0.06,0.0,0.21,0.15,0.0,0.1,0.0,0.29,0.77,0.08
zealos.csv,0.31,0.14,0.0,0.29,0.61,0.0,0.22,0.17,0.0,0.12,0.42,0.0,0.04,0.29
