,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,198.0,98.5,1023.0,93.5,150.0,816.5,186.0,197.0,195.0,285.5,97.5,1311.5,657.0,475.5
baadengine.csv,99.0,99.0,3431.5,96.5,192.0,907.0,98.5,197.0,653.5,285.5,97.5,198.0,581.5,98.5
bnetd.csv,99.0,99.0,3179.5,99.0,94.5,1615.0,98.5,197.0,865.5,83.5,97.5,198.0,581.5,98.5
impala.csv,95.5,91.5,1549.5,99.0,327.0,1454.0,98.5,94.5,437.5,93.5,97.5,886.0,288.5,98.5
jaxen.csv,198.0,98.5,3052.5,99.0,192.0,459.5,98.5,197.0,195.0,191.0,97.5,198.0,288.5,98.5
jgameai.csv,41.5,68.5,696.0,91.5,590.5,245.5,186.0,314.0,96.5,585.5,212.0,484.0,1806.5,21.5
jparsec.csv,99.0,99.0,1747.0,96.5,192.0,635.5,281.5,98.5,292.5,188.0,97.5,2073.0,581.5,98.5
motu.csv,99.0,99.0,3339.0,96.5,161.0,1454.0,98.5,197.0,365.5,262.5,97.5,2572.0,581.5,98.5
vars-redux.csv,198.0,99.0,1489.5,96.5,192.0,366.0,98.5,197.0,563.0,188.0,97.5,198.0,486.0,98.5
werx.csv,198.0,99.0,4544.0,99.0,192.0,715.0,98.5,197.0,292.5,285.5,97.5,198.0,581.5,98.5
wishmaster.csv,95.5,93.5,271.5,278.0,177.5,171.0,84.5,195.0,275.5,347.5,90.5,544.0,193.0,98.5
xreal.csv,198.0,93.5,1530.0,187.5,111.0,0.0,98.5,94.5,153.5,209.5,177.0,198.0,193.0,98.5
zealos.csv,99.0,85.5,948.5,122.0,94.5,334.5,87.5,532.5,84.5,132.5,88.5,332.5,1704.0,86.5
