,forester-atv.csv,adonthell.csv,chaperon.csv,yarp0.csv,pokenetonline.csv,gephex.csv,primefaces.csv,rcp-company-uibindings.csv
adonthell.csv,0.46,0.94,0.29,0.58,0.18,0.34,0.21,0.07
chaperon.csv,0.23,0.0,1.0,0.0,0.02,0.01,0.1,0.06
forester-atv.csv,0.97,0.12,0.29,0.07,0.16,0.1,0.18,0.24
gephex.csv,0.41,0.63,0.0,0.53,0.63,0.97,0.06,0.24
pokenetonline.csv,0.68,0.26,0.53,0.67,1.0,0.42,0.49,0.52
primefaces.csv,0.39,0.48,0.6,0.46,0.29,0.32,0.99,0.46
rcp-company-uibindings.csv,0.35,0.0,0.41,0.0,0.0,0.0,0.54,0.98
yarp0.csv,0.59,0.33,0.52,1.0,0.5,0.2,0.52,0.38
