,forester-atv.csv,adonthell.csv,chaperon.csv,yarp0.csv,pokenetonline.csv,gephex.csv,primefaces.csv,rcp-company-uibindings.csv
adonthell.csv,0.3,0.02,0.19,0.53,0.32,0.2,0.04,0.0
chaperon.csv,0.08,0.0,0.0,0.0,0.04,0.02,0.11,0.0
forester-atv.csv,0.0,0.15,0.1,0.08,0.04,0.05,0.41,0.1
gephex.csv,0.4,0.65,0.21,0.76,0.24,0.02,0.0,0.0
pokenetonline.csv,0.62,0.27,0.33,0.39,0.0,0.39,0.44,0.2
primefaces.csv,0.7,0.83,0.67,0.84,0.92,0.9,0.04,0.2
rcp-company-uibindings.csv,0.9,1.0,0.88,1.0,1.0,1.0,0.81,0.1
yarp0.csv,0.7,0.38,0.38,0.0,0.64,0.27,0.22,0.1
