,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.4,0.97,0.43,0.3,0.33,0.1,0.21,0.41,0.66,0.55
bibedt.csv,0.71,0.34,0.5,0.46,0.14,0.23,1.0,0.71,0.48,0.71
cascading.csv,0.24,0.52,0.5,0.65,0.0,0.38,0.38,0.66,1.0,0.47
firebreath.csv,0.69,0.64,0.98,0.61,0.26,0.19,0.37,0.71,0.69,0.8
fritzing.csv,1.0,0.63,0.57,0.52,0.47,0.19,0.11,0.71,0.56,0.73
httpcontentparser.csv,0.45,0.53,0.15,0.0,0.18,0.98,0.17,0.1,0.14,0.39
mpgravity.csv,0.57,0.58,0.55,0.71,1.0,0.31,0.31,0.74,0.45,0.68
patterntesting.csv,0.64,0.56,0.59,0.98,0.22,0.28,0.53,0.8,0.69,0.74
roller.csv,0.53,0.49,0.54,0.67,0.26,0.2,0.37,1.0,0.59,0.76
xfce.csv,0.66,0.64,0.52,0.57,0.32,0.17,0.33,0.6,0.78,0.98
