,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.36,0.95,0.37,0.24,0.22,0.06,0.14,0.43,0.77,0.69
bibedt.csv,0.74,0.48,0.6,1.0,0.5,0.13,1.0,0.8,0.89,0.78
cascading.csv,0.52,0.62,0.46,0.58,0.0,0.28,0.24,0.69,1.0,0.82
firebreath.csv,0.56,0.51,0.97,0.59,0.19,0.12,0.24,0.7,0.8,0.71
fritzing.csv,1.0,0.58,0.6,0.75,0.8,0.11,0.12,0.72,0.8,0.74
httpcontentparser.csv,0.51,0.5,0.71,0.0,0.14,0.95,0.14,1.0,0.9,0.63
mpgravity.csv,0.55,0.51,0.61,0.69,1.0,0.2,0.23,0.75,0.77,0.72
patterntesting.csv,0.6,0.52,0.56,0.97,0.33,0.17,0.4,0.76,0.84,0.84
roller.csv,0.51,0.51,0.49,0.7,0.21,0.12,0.29,1.0,0.82,0.73
xfce.csv,0.55,0.55,0.42,0.42,0.2,0.09,0.21,0.54,0.8,0.98
