,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.94,0.06,0.73,1.01,0.78,0.9,0.84,0.99,0.74,0.72
bibedt.csv,0.39,0.8,0.59,0.7,0.92,0.63,0.0,0.43,0.68,0.54
cascading.csv,0.86,0.64,0.61,0.43,1.0,0.44,0.71,0.56,0.0,0.69
firebreath.csv,0.68,0.99,0.02,0.46,0.79,0.67,0.64,0.54,0.67,0.84
fritzing.csv,0.0,0.65,0.5,0.61,0.67,0.72,0.92,0.5,0.69,0.63
httpcontentparser.csv,0.7,0.77,0.92,1.0,0.88,0.01,0.85,0.95,0.92,0.81
mpgravity.csv,0.61,0.8,0.54,0.34,0.0,0.45,0.65,0.44,0.76,0.67
patterntesting.csv,0.52,0.73,0.49,0.02,0.84,0.53,0.35,0.42,0.57,0.44
roller.csv,0.67,0.73,0.56,0.4,0.76,0.71,0.58,0.0,0.65,0.68
xfce.csv,0.67,0.76,0.68,0.78,0.91,0.89,0.76,0.92,0.73,0.05
