,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.09,0.32,0.17,0.0,0.19,1.0
libtorrent.csv,0.91,0.75,0.98,0.62,0.96,1.0
moviesandbox.csv,0.77,0.33,0.88,0.75,0.76,0.67
sigil.csv,0.82,0.45,0.85,0.75,0.86,1.0
xbg.csv,0.05,0.23,0.1,1.0,0.04,0.0
xtreemfs.csv,0.98,0.53,0.96,0.62,0.86,1.0
