,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.47,0.72,0.3,0.29,0.38,0.34,0.55,0.46,0.35,0.51,0.28,0.49,0.58
freewrl.csv,0.61,0.33,0.21,0.44,0.32,0.78,0.6,0.53,0.68,0.43,0.81,0.66,0.27
fulguro.csv,0.47,0.13,0.0,0.79,0.3,0.5,0.01,0.42,0.55,0.73,0.09,0.4,0.0
google-web-toolkit.csv,0.59,0.19,0.25,0.32,0.66,0.26,0.66,0.57,0.5,0.54,0.72,0.58,0.61
jcache.csv,0.67,0.09,0.54,0.6,0.05,0.38,0.63,0.4,0.77,0.27,0.95,0.0,0.6
jstock.csv,0.53,0.2,0.04,0.47,0.69,0.61,0.47,0.55,0.87,0.27,0.8,0.54,0.32
mimosa.csv,0.55,0.0,0.44,0.79,0.31,0.47,0.47,0.35,0.57,0.76,0.71,0.23,0.54
miranda.csv,0.61,0.39,0.04,0.04,0.0,0.0,0.1,0.42,0.0,0.22,0.46,0.45,0.72
ns-3-dev-def-routing.csv,0.36,0.21,0.21,0.54,0.63,0.13,0.52,0.61,0.35,0.62,0.44,0.4,0.53
ossbuild.csv,0.65,0.44,0.77,0.21,0.51,0.51,0.48,0.67,0.43,0.23,0.34,0.31,0.6
qtractor.csv,0.78,0.52,0.05,0.72,0.58,0.0,0.49,0.71,0.5,0.42,0.54,0.45,0.67
quarkplayer.csv,0.17,0.18,0.4,0.64,0.73,0.0,0.27,0.3,0.0,0.43,0.36,0.21,0.18
synergyspace.csv,0.29,0.43,0.66,0.69,0.64,0.09,0.5,0.42,0.48,0.64,0.39,0.11,0.09
