,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.43,0.55,0.51,0.42,0.46,0.14,0.32,0.47,0.62,0.22,0.36,0.98,0.59,0.55,0.58,0.57,0.08,0.51,0.47,0.08
arcallians.csv,0.49,0.62,0.65,0.63,0.96,0.2,0.19,0.49,0.5,0.36,0.44,0.49,0.58,0.55,0.49,0.7,0.09,0.49,0.49,0.34
arianne.csv,0.99,0.49,0.75,0.36,0.7,0.25,0.21,0.43,0.55,0.4,0.29,0.37,0.49,0.43,0.56,0.57,0.06,0.43,0.41,0.59
aztec.csv,0.56,0.18,0.38,0.12,0.32,0.92,0.16,0.12,0.45,0.41,0.05,0.57,0.32,0.25,0.09,0.57,0.0,0.25,0.2,0.65
biopax.csv,0.66,0.68,0.8,0.5,0.67,0.19,0.2,0.4,0.63,0.52,0.33,0.74,0.6,0.58,0.62,0.99,0.05,0.46,0.4,0.7
bl-toolkit.csv,0.45,0.61,0.99,0.62,0.59,0.16,0.17,0.41,0.5,0.42,0.34,0.66,0.49,0.6,0.56,0.64,0.04,0.41,0.51,0.62
clamav.csv,0.49,0.62,0.48,0.4,0.53,0.17,0.12,0.47,0.48,1.0,0.3,0.57,0.52,0.5,0.48,0.63,0.07,0.41,0.27,0.58
crux-framework.csv,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.02,0.0,0.0,1.0,0.0,0.1,0.0
gnupdate.csv,0.37,0.47,0.21,0.58,0.69,0.15,0.45,0.24,0.52,0.34,0.95,0.51,0.53,0.44,0.38,0.54,0.07,0.47,0.31,0.26
jmule.csv,0.51,0.58,0.66,0.68,0.6,0.18,0.15,0.47,0.59,0.45,0.5,0.47,0.57,0.55,0.48,0.79,0.11,0.47,0.62,0.98
mbse.csv,0.44,0.53,0.6,0.32,0.54,0.17,0.25,0.92,0.55,0.43,0.36,0.61,0.48,0.48,0.51,0.54,0.09,0.48,0.3,0.43
mplayer-ce.csv,0.6,0.6,0.75,0.41,0.57,0.13,0.17,0.36,0.52,0.44,0.28,0.7,0.51,0.49,0.97,0.71,0.06,0.51,0.33,0.59
ng4j.csv,0.32,0.56,0.5,0.66,0.67,0.09,0.18,0.49,0.59,0.45,0.53,0.5,0.5,0.53,0.51,0.68,0.07,0.43,0.89,0.61
ns-3-dev-def-routing.csv,0.33,0.49,0.49,0.39,0.71,0.27,0.19,0.39,0.19,0.42,0.39,0.55,0.41,0.97,0.53,0.5,0.11,0.37,0.33,0.0
openxava.csv,0.55,0.56,0.63,0.23,0.33,0.1,0.97,0.38,0.5,0.48,0.25,0.71,0.52,0.45,0.53,0.63,0.06,0.39,0.4,0.56
phonon-vlc-mplayer.csv,0.57,0.63,0.77,0.97,0.67,0.38,0.28,0.35,0.56,0.51,0.31,0.47,0.59,0.47,0.54,0.66,0.06,0.44,0.34,0.68
qgis.csv,0.51,0.99,0.51,0.51,0.6,0.19,0.21,0.45,0.58,0.41,0.32,0.62,0.43,0.51,0.48,0.53,0.07,0.47,0.46,0.42
vars-redux.csv,0.3,0.11,0.27,0.03,0.39,0.16,0.23,0.42,1.0,0.15,0.17,0.29,0.49,0.07,0.31,0.4,0.06,0.49,0.28,0.44
xamj.csv,0.66,0.62,0.79,0.29,0.62,0.13,0.46,0.4,0.38,0.5,0.28,0.76,0.54,0.51,0.58,0.83,0.05,0.98,0.39,0.57
yafdotnet.csv,0.5,0.55,0.65,0.4,0.67,0.12,0.33,0.37,0.6,0.39,0.3,0.6,0.98,0.52,0.55,0.55,0.07,0.5,0.31,0.65
