,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.44,0.47,0.37,0.44,0.46,0.39,0.44,0.45,0.43,0.4,0.36,0.4,0.42,0.45,0.47
aufs.csv,0.96,0.62,0.93,0.38,0.9,0.61,0.57,0.94,0.55,0.68,0.45,0.66,0.92,0.98,0.9
bulmages.csv,0.0,0.97,0.88,0.34,0.79,0.98,0.89,0.99,0.0,0.48,0.41,0.0,0.44,0.9,0.0
coot.csv,0.0,0.7,0.63,0.33,0.6,0.66,0.65,0.69,0.49,0.4,0.5,0.56,0.44,0.81,0.49
emono.csv,0.51,0.55,0.56,0.39,0.63,0.4,0.5,0.58,0.52,0.5,0.38,0.4,0.5,0.49,0.57
extprosys.csv,0.43,0.6,0.39,0.75,0.49,0.47,0.44,0.51,0.67,0.44,0.38,0.56,0.57,0.51,0.52
freelords.csv,0.45,0.62,0.41,0.28,0.45,0.38,0.5,0.48,0.39,0.35,0.38,0.5,0.37,0.4,0.45
jnode.csv,0.72,0.95,0.86,0.57,0.5,0.79,0.9,0.96,0.83,0.96,0.0,0.0,0.45,0.8,0.67
jruby.csv,0.52,0.89,0.45,0.32,0.44,0.39,0.55,0.51,0.5,0.44,0.36,0.39,0.0,0.51,0.92
jsecurity.csv,0.93,0.91,0.86,0.75,0.44,0.42,0.92,0.77,0.54,0.88,0.73,0.9,0.43,0.51,0.61
matrex.csv,0.44,0.91,0.89,0.33,0.94,0.65,0.75,0.99,0.88,0.0,0.43,0.81,0.88,0.96,0.67
officefloor.csv,0.6,0.63,0.54,0.5,0.92,0.47,0.9,0.54,0.5,0.5,0.63,0.64,0.48,0.57,0.55
projectfactory.csv,0.49,0.8,0.68,0.86,0.9,0.6,0.58,0.6,0.43,0.75,0.79,0.52,0.93,0.49,0.55
taverna.csv,0.53,0.93,0.7,0.0,0.95,0.98,0.75,0.98,0.0,0.85,0.0,0.49,0.38,0.83,0.7
vxl.csv,0.67,0.51,0.67,0.89,0.5,0.47,0.57,0.5,0.5,0.53,0.36,0.64,0.92,0.54,0.76
