,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.0,2.0,7.0,1.0,8.0,1.0,0.0,320.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
aufs.csv,0.0,1.0,0.0,1.0,10.0,1.0,1.0,389.0,2.0,9.0,4.0,1.0,1.0,0.0,0.0
bulmages.csv,150.0,13.0,1.0,0.0,9.0,0.0,0.0,1376.0,116.0,0.0,1.0,81.0,1.0,0.0,121.0
coot.csv,150.0,23.0,2.0,1.0,11.0,1.0,1.0,321.0,2.0,11.0,4.0,1.0,0.0,0.0,0.0
emono.csv,1.0,2.0,0.0,1.0,10.0,1.0,1.0,268.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0
extprosys.csv,0.0,0.0,2.0,1.0,10.0,19.0,1.0,201.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
freelords.csv,16.0,1.0,2.0,0.0,17.0,0.0,0.0,107.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
jnode.csv,5.0,7.0,0.0,0.0,0.0,1.0,2.0,80.0,116.0,1.0,147.0,0.0,0.0,0.0,0.0
jruby.csv,1.0,0.0,0.0,1.0,14.0,11.0,1.0,147.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0
jsecurity.csv,0.0,2.0,5.0,0.0,0.0,49.0,0.0,64.0,14.0,1.0,3.0,1.0,1.0,0.0,0.0
matrex.csv,5.0,0.0,2.0,0.0,4.0,71.0,0.0,14.0,1.0,100.0,0.0,0.0,2.0,0.0,1.0
officefloor.csv,1.0,4.0,1.0,0.0,4.0,49.0,1.0,6.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
projectfactory.csv,15.0,1.0,1.0,0.0,0.0,27.0,2.0,94.0,0.0,2.0,0.0,0.0,8.0,0.0,7.0
taverna.csv,2.0,1.0,0.0,61.0,0.0,39.0,1.0,1376.0,116.0,4.0,147.0,2.0,1.0,1.0,1.0
vxl.csv,0.0,0.0,2.0,0.0,4.0,4.0,1.0,84.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
