,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.52,0.55,0.6,0.58,0.43,0.5,0.54
amateur-scrolls.csv,0.81,0.6,0.58,0.0,0.5,0.0,0.61
arcallians.csv,0.54,0.59,0.49,0.55,0.4,0.6,0.49
gebr.csv,0.43,0.47,0.35,0.43,0.38,0.34,0.41
jfreereport.csv,0.74,0.92,0.95,0.88,0.43,0.69,0.91
kml.csv,0.43,0.48,0.35,0.5,0.39,0.43,0.43
multitude.csv,0.51,0.65,0.44,0.42,0.35,0.31,0.43
