,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.49,0.54,0.35,0.96,0.74,0.54,0.53,0.9,0.51,0.54,0.93,0.89,0.46
emulemorph.csv,0.0,0.0,0.0,0.67,0.75,0.0,0.5,0.0,0.83,0.75,0.0,0.0,0.0
gisgraphy.csv,0.0,0.95,0.74,0.83,0.96,0.94,0.79,0.62,0.92,0.89,0.96,0.91,0.76
jaxen.csv,0.0,0.0,0.94,0.75,0.75,0.0,0.0,0.8,0.0,0.67,0.0,0.89,0.0
jvcl.csv,0.0,0.0,0.93,0.74,0.62,0.8,0.39,0.58,0.0,0.42,0.0,0.0,0.41
m-m-m.csv,0.42,0.54,0.4,0.59,0.44,0.63,0.4,0.41,0.64,0.35,0.42,0.39,0.33
motu.csv,0.0,0.0,0.86,0.92,0.83,0.75,0.83,0.88,0.5,0.77,0.0,0.88,0.86
nh3d.csv,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.9,0.0,0.0
sarasvati.csv,0.45,0.0,0.5,0.9,0.0,0.0,0.92,0.86,0.86,0.93,0.88,0.5,0.0
wgs-assembler.csv,0.65,0.86,0.94,0.96,0.84,0.75,0.49,0.83,0.78,0.71,0.93,0.81,0.64
zabbix.csv,0.32,0.61,0.3,0.48,0.44,0.6,0.52,0.36,0.48,0.42,0.67,0.36,0.33
