,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.35,0.01,0.09,0.12,1.0,0.92,0.02,0.2,0.09,0.16,0.64,0.0,0.38
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
gisgraphy.csv,0.0,0.05,0.14,0.09,0.17,0.75,0.0,0.12,0.0,0.17,0.7,0.0,1.0
jaxen.csv,0.0,0.0,0.19,0.5,0.5,0.0,0.0,1.0,0.0,0.67,0.0,0.0,1.0
jvcl.csv,0.0,0.0,1.0,0.04,0.15,1.0,0.02,0.02,0.0,0.22,0.0,0.0,0.39
m-m-m.csv,0.35,0.02,0.08,0.09,0.25,1.0,0.02,0.06,0.04,0.28,0.39,0.01,0.28
motu.csv,0.0,0.0,0.14,0.0,0.33,1.0,0.17,0.12,0.0,0.92,0.0,0.12,0.29
nh3d.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
sarasvati.csv,0.38,0.0,0.0,1.0,0.0,0.0,0.08,0.0,0.0,0.07,0.88,0.5,0.0
wgs-assembler.csv,1.0,0.05,0.06,0.04,0.21,0.88,0.03,0.33,0.05,0.21,0.3,0.0,0.36
zabbix.csv,0.36,0.02,0.1,0.07,0.28,0.79,0.02,0.08,0.03,0.21,0.98,0.0,0.38
