,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.76,0.63,0.94,0.0,1.02,0.84,0.69,0.85,0.86,0.7,0.79,0.91,0.83
empserver.csv,0.67,0.89,0.7,0.53,1.08,0.71,0.79,0.89,0.71,0.0,0.49,0.55,0.71
emulemorph.csv,0.92,1.0,0.93,0.94,1.08,0.98,1.02,0.0,0.76,1.0,1.03,1.01,0.78
google-web-toolkit.csv,0.59,0.83,0.72,0.79,1.12,0.56,0.48,0.78,0.72,0.82,0.67,0.63,0.02
htmlunit.csv,0.87,0.78,0.93,0.85,1.0,0.08,0.43,1.0,0.89,0.87,0.49,0.7,0.8
jaxen.csv,0.95,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.97,1.0
jguard.csv,0.64,0.99,0.78,0.61,1.07,0.75,0.74,0.76,0.07,0.87,0.78,0.54,0.73
kowari.csv,0.93,1.0,0.86,0.75,1.01,0.98,1.0,0.69,1.0,0.97,0.0,1.0,0.96
maidsafe-dht.csv,0.86,0.96,0.07,0.85,1.0,0.9,0.81,0.7,0.84,0.92,0.48,1.03,0.89
mimosa.csv,0.83,0.89,0.76,0.72,0.71,0.8,0.65,0.61,0.6,0.71,0.69,0.0,0.71
vdsf.csv,0.86,0.12,0.98,0.84,0.9,0.97,0.9,0.93,0.98,1.0,0.93,0.99,0.9
xbrlapi.csv,0.0,0.98,0.81,0.77,0.29,0.63,0.65,0.92,0.63,0.8,0.83,0.46,0.67
