,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.86,0.77,0.7,0.67,0.36,0.27,0.47,0.65,0.48,0.59,0.59,0.37,0.71,0.67,0.74,0.71,0.68,0.71
cornerstone.csv,0.5,0.27,0.24,0.29,0.2,0.23,0.0,0.24,0.02,0.03,0.71,0.56,0.2,0.35,0.05,0.59,0.43,0.43
emeraldemu.csv,0.88,0.59,0.82,1.0,0.2,0.22,0.4,0.69,0.38,0.59,0.67,0.07,0.32,0.12,0.54,0.15,0.61,0.14
grafx2.csv,0.87,0.77,0.7,0.83,0.26,0.32,0.6,0.71,0.47,0.66,0.65,0.81,0.62,0.74,0.89,0.76,0.72,0.71
jahshakafx.csv,0.83,0.66,0.85,0.67,0.34,0.24,0.47,0.84,0.54,0.53,0.67,0.33,0.63,0.56,0.67,0.76,0.64,0.79
kindb.csv,0.93,0.63,0.91,0.92,0.64,0.47,0.93,0.85,0.73,0.81,0.78,0.37,0.77,0.56,0.55,0.82,0.77,0.29
maya-work-in-progress.csv,0.96,0.85,0.88,0.62,1.0,0.69,0.8,0.89,0.88,0.81,0.98,0.93,0.92,0.91,0.86,0.91,0.92,1.0
netatalk.csv,0.87,0.94,0.85,1.0,0.34,0.47,0.73,0.78,0.76,0.94,0.67,0.37,0.67,0.72,0.95,0.82,0.81,0.64
novembre.csv,0.73,0.54,0.15,0.38,0.16,0.29,0.73,0.52,0.65,0.5,0.39,0.26,0.07,0.35,0.55,0.62,0.59,0.71
ns-3.csv,0.86,0.79,0.79,0.79,0.46,0.71,0.93,0.69,0.65,0.41,0.61,0.96,0.9,0.95,0.84,1.0,0.92,0.86
nullc.csv,0.73,1.0,1.0,1.0,0.62,0.41,0.73,0.69,0.51,0.31,0.73,0.37,0.69,0.79,0.64,0.59,0.89,0.43
open-beos.csv,0.93,0.79,0.7,0.79,0.46,0.42,0.8,0.82,0.65,0.41,0.39,1.0,0.73,0.95,0.76,1.0,0.76,1.0
planeshift.csv,0.99,0.99,0.94,1.0,0.78,0.55,0.8,0.85,0.83,0.62,0.86,0.81,0.71,0.77,0.67,0.97,0.97,1.0
plee-the-bear.csv,0.82,0.43,0.79,0.04,0.5,0.55,0.53,0.59,0.71,0.62,0.67,0.74,0.61,0.58,0.46,0.62,0.58,0.64
reaper-ecad.csv,0.21,0.1,0.0,0.67,0.14,0.02,0.0,0.18,0.05,0.03,0.12,0.0,0.04,0.0,0.04,0.03,0.1,0.14
sbml.csv,0.84,0.81,0.85,1.0,0.54,0.73,1.0,0.96,0.8,0.94,0.9,1.0,0.9,0.6,0.74,1.0,0.69,1.0
unimrcp.csv,0.85,0.61,0.52,0.88,0.38,0.35,0.67,0.54,0.38,0.62,0.8,0.74,0.52,0.44,0.55,0.65,0.69,0.43
unladen-swallow.csv,0.27,0.46,0.55,0.08,0.16,0.32,0.53,0.47,0.44,0.44,0.29,0.67,0.43,0.44,0.25,0.41,0.58,0.71
