,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.75,0.5,0.72,0.67,0.93,0.66,0.98,0.84,0.76,0.58,1.0,0.66,0.49,0.77,0.67,0.59,0.94
avisynth2.csv,0.81,1.0,0.81,0.9,1.0,0.96,0.03,1.0,1.0,0.9,0.99,0.8,0.79,1.0,1.0,0.94,1.0
bigdata.csv,0.78,0.95,0.75,0.94,0.96,0.84,0.86,0.8,0.89,0.7,1.0,0.54,0.77,0.76,0.8,0.72,0.84
dsworkbench.csv,0.49,0.68,0.85,0.88,0.88,0.83,1.11,1.11,0.93,0.82,0.68,0.75,1.01,0.79,0.83,0.85,1.09
foursquared.csv,0.76,0.78,0.82,0.75,0.21,0.93,0.4,1.0,0.75,0.75,0.96,0.92,0.95,0.7,0.86,0.77,1.0
geotools.csv,0.64,0.71,0.64,0.61,0.77,0.48,0.73,0.25,0.69,0.44,0.87,0.73,1.07,0.49,0.63,0.93,0.92
gephex.csv,1.0,0.89,0.73,0.96,0.92,0.64,1.19,0.88,0.92,0.65,0.43,0.66,0.57,0.95,0.96,0.58,0.82
jgossipforum.csv,0.98,0.82,0.53,0.84,0.83,0.85,1.0,0.07,0.34,0.84,0.85,0.86,0.87,0.64,0.96,0.91,1.09
madman.csv,0.82,0.77,0.63,0.82,0.6,0.88,0.67,0.67,0.2,0.72,0.87,0.8,0.78,0.76,0.85,0.97,1.01
pokenetonline.csv,0.88,0.78,0.61,0.31,0.72,0.63,0.74,0.75,0.73,0.63,0.76,0.82,1.09,0.83,0.73,0.38,1.34
qmmp.csv,0.67,0.64,0.8,0.73,0.79,0.92,0.64,0.81,0.51,0.81,0.72,0.92,0.71,0.39,0.73,0.7,1.17
rcp-company-uibindings.csv,0.78,0.76,0.56,0.75,0.45,0.5,0.54,0.62,0.51,0.56,0.67,0.68,0.87,0.58,0.9,0.15,0.26
simplewebservices.csv,1.0,0.98,0.84,0.88,0.64,0.78,0.98,0.62,0.87,0.73,0.7,0.97,0.8,1.0,0.47,0.29,1.0
t-2.csv,0.71,0.93,0.8,0.71,0.92,0.42,1.05,1.0,0.77,0.77,0.86,0.83,0.95,0.76,0.94,0.96,0.18
wsmt.csv,0.79,1.0,0.92,0.99,0.77,0.9,0.67,1.0,1.0,0.89,0.95,0.85,0.29,1.0,1.0,0.64,1.12
yarp0.csv,0.7,0.89,0.41,0.77,0.89,0.72,1.02,0.93,0.58,0.69,0.67,0.82,0.99,0.78,0.73,0.76,1.01
